0 8.9000  -880.0170 -2310484.5341 29.2796
1 8.8900  -880.0170 -2310484.5824 29.2313
2 8.8800  -880.0170 -2310484.6225 29.1913
3 8.8700  -880.0170 -2310484.6554 29.1583
4 8.8599  -880.0170 -2310484.6820 29.1317
5 8.8499  -880.0170 -2310484.7027 29.1110
6 8.8399  -880.0170 -2310484.7179 29.0958
7 8.8299  -880.0171 -2310484.7921 29.0217
8 8.8199  -880.0171 -2310484.8093 29.0045
9 8.8099  -880.0171 -2310484.8183 28.9954
10 8.7999  -880.0171 -2310484.8207 28.9931
11 8.7899  -880.0171 -2310484.8169 28.9969
12 8.7798  -880.0171 -2310484.8074 29.0063
13 8.7698  -880.0171 -2310484.7928 29.0209
14 8.7598  -880.0171 -2310484.7734 29.0403
15 8.7498  -880.0171 -2310484.8358 28.9779
16 8.7398  -880.0171 -2310484.8208 28.9929
17 8.7298  -880.0171 -2310484.7983 29.0154
18 8.7198  -880.0171 -2310484.7699 29.0438
19 8.7098  -880.0170 -2310484.7351 29.0786
20 8.6997  -880.0170 -2310484.6946 29.1192
21 8.6897  -880.0170 -2310484.6485 29.1652
22 8.6797  -880.0170 -2310484.6681 29.1456
23 8.6697  -880.0170 -2310484.6270 29.1867
24 8.6597  -880.0170 -2310484.5787 29.2350
25 8.6497  -880.0170 -2310484.5242 29.2895
26 8.6397  -880.0169 -2310484.4638 29.3499
27 8.6297  -880.0169 -2310484.3976 29.4161
28 8.6196  -880.0169 -2310484.4365 29.3772
29 8.6096  -880.0169 -2310484.3807 29.4330
30 8.5996  -880.0169 -2310484.3179 29.4959
31 8.5896  -880.0169 -2310484.2490 29.5647
32 8.5796  -880.0168 -2310484.1746 29.6392
33 8.5696  -880.0168 -2310484.0949 29.7189
34 8.5596  -880.0168 -2310484.0101 29.8037
35 8.5496  -880.0167 -2310483.9204 29.8933
36 8.5395  -880.0167 -2310483.8459 29.9678
37 8.5295  -880.0167 -2310483.7503 30.0635
38 8.5195  -880.0166 -2310483.6475 30.1662
39 8.5095  -880.0166 -2310483.5392 30.2746
40 8.4995  -880.0165 -2310483.4261 30.3877
41 8.4895  -880.0166 -2310483.6793 30.1344
42 8.4795  -880.0166 -2310483.6190 30.1947
43 8.4695  -880.0166 -2310483.5550 30.2588
44 8.4594  -880.0166 -2310483.4887 30.3250
45 8.4494  -880.0165 -2310483.4211 30.3927
46 8.4394  -880.0165 -2310483.3641 30.4496
47 8.4294  -880.0165 -2310483.2944 30.5193
48 8.4194  -880.0165 -2310483.2211 30.5926
49 8.4094  -880.0164 -2310483.1466 30.6671
50 8.3994  -880.0164 -2310483.0723 30.7414
51 8.3894  -880.0167 -2310483.9202 29.8935
52 8.3793  -880.0167 -2310483.9021 29.9116
53 8.3693  -880.0167 -2310483.8813 29.9324
54 8.3593  -880.0167 -2310483.8607 29.9531
55 8.3493  -880.0167 -2310483.8681 29.9456
56 8.3393  -880.0167 -2310483.8530 29.9607
57 8.3293  -880.0167 -2310483.8348 29.9789
58 8.3193  -880.0167 -2310483.8178 29.9959
59 8.3093  -880.0168 -2310483.9857 29.8281
60 8.2992  -880.0169 -2310484.4980 29.3157
61 8.2892  -880.0170 -2310484.5349 29.2788
