0 8.9000  -981.6959 -2577442.4877 212.4356
1 8.8900  -981.6959 -2577442.5411 212.3821
2 8.8800  -981.6959 -2577442.5927 212.3305
3 8.8700  -981.6959 -2577442.6443 212.2789
4 8.8599  -981.6959 -2577442.6959 212.2273
5 8.8499  -981.6960 -2577442.7477 212.1755
6 8.8399  -981.6960 -2577442.7996 212.1236
7 8.8299  -981.6960 -2577442.8517 212.0716
8 8.8199  -981.6960 -2577442.9039 212.0193
9 8.8099  -981.6960 -2577442.9563 211.9669
10 8.7999  -981.6961 -2577443.0089 211.9144
11 8.7899  -981.6961 -2577443.0616 211.8616
12 8.7798  -981.6961 -2577443.1146 211.8087
13 8.7698  -981.6961 -2577443.1677 211.7555
14 8.7598  -981.6961 -2577443.2211 211.7022
15 8.7498  -981.6962 -2577443.2746 211.6486
16 8.7398  -981.6962 -2577443.3285 211.5948
17 8.7298  -981.6962 -2577443.3826 211.5407
18 8.7198  -981.6962 -2577443.4369 211.4863
19 8.7098  -981.6962 -2577443.4916 211.4316
20 8.6997  -981.6963 -2577443.5467 211.3765
21 8.6897  -981.6963 -2577443.6022 211.3211
22 8.6797  -981.6963 -2577443.6582 211.2651
23 8.6697  -981.6963 -2577443.7147 211.2086
24 8.6597  -981.6964 -2577443.7719 211.1514
25 8.6497  -981.6964 -2577443.8299 211.0934
26 8.6397  -981.6964 -2577443.8889 211.0344
27 8.6297  -981.6964 -2577443.9491 210.9741
28 8.6196  -981.6964 -2577444.0111 210.9122
29 8.6096  -981.6965 -2577444.0752 210.8481
30 8.5996  -981.7564 -2577601.4161 53.5072
31 8.5896  -981.7564 -2577601.5557 53.3675
32 8.5796  -981.7565 -2577601.6925 53.2308
33 8.5696  -981.7566 -2577601.8269 53.0964
34 8.5596  -981.7566 -2577601.9592 52.9640
35 8.5496  -981.7567 -2577602.0896 52.8336
36 8.5395  -981.7567 -2577602.2182 52.7050
37 8.5295  -981.7567 -2577602.3450 52.5783
38 8.5195  -981.7568 -2577602.4701 52.4532
39 8.5095  -981.7568 -2577602.5934 52.3298
40 8.4995  -981.7569 -2577602.7150 52.2083
41 8.4895  -981.7569 -2577602.8349 52.0884
42 8.4795  -981.7570 -2577602.9530 51.9703
43 8.4695  -981.7570 -2577603.0693 51.8539
44 8.4594  -981.7571 -2577603.1840 51.7393
45 8.4494  -981.7571 -2577603.2968 51.6264
46 8.4394  -981.7572 -2577603.4080 51.5152
47 8.4294  -981.7572 -2577603.5175 51.4057
48 8.4194  -981.7572 -2577603.6254 51.2979
49 8.4094  -981.7573 -2577603.7316 51.1916
50 8.3994  -981.7573 -2577603.8363 51.0870
51 8.3894  -981.7574 -2577603.9394 50.9838
52 8.3793  -981.7574 -2577604.0411 50.8821
53 8.3693  -981.7574 -2577604.1413 50.7819
54 8.3593  -981.7575 -2577604.2402 50.6830
55 8.3493  -981.7575 -2577604.3377 50.5855
56 8.3393  -981.7575 -2577604.4340 50.4892
57 8.3293  -981.7576 -2577604.5290 50.3942
58 8.3193  -981.7576 -2577604.6229 50.3003
59 8.3093  -981.7577 -2577604.7157 50.2076
60 8.2992  -981.7577 -2577604.8073 50.1159
61 8.2892  -981.7577 -2577604.8979 50.0253
62 8.2792  -981.7578 -2577604.9875 49.9357
63 8.2692  -981.7578 -2577605.0761 49.8471
64 8.2592  -981.7578 -2577605.1638 49.7594
65 8.2492  -981.7579 -2577605.2505 49.6727
66 8.2392  -981.7579 -2577605.3363 49.5870
67 8.2292  -981.7579 -2577605.4211 49.5021
68 8.2191  -981.7580 -2577605.5051 49.4182
69 8.2091  -981.7580 -2577605.5881 49.3351
70 8.1991  -981.7580 -2577605.6702 49.2530
71 8.1891  -981.7580 -2577605.7515 49.1718
72 8.1791  -981.7581 -2577605.8317 49.0915
73 8.1691  -981.7581 -2577605.9111 49.0121
74 8.1591  -981.7581 -2577605.9896 48.9336
75 8.1491  -981.7582 -2577606.1465 48.7767
76 8.1390  -981.7582 -2577606.2232 48.7000
77 8.1290  -981.7583 -2577606.2981 48.6251
78 8.1190  -981.7583 -2577606.3716 48.5516
79 8.1090  -981.7583 -2577606.4439 48.4793
80 8.0990  -981.7583 -2577606.5151 48.4082
81 8.0890  -981.7584 -2577606.5852 48.3381
82 8.0790  -981.7584 -2577606.6542 48.2691
83 8.0690  -981.7584 -2577606.7221 48.2011
84 8.0589  -981.7584 -2577606.7889 48.1343
85 8.0489  -981.7585 -2577606.8547 48.0685
86 8.0389  -981.7585 -2577606.9193 48.0039
87 8.0289  -981.7585 -2577606.9828 47.9404
88 8.0189  -981.7585 -2577607.0452 47.8780
89 8.0089  -981.7586 -2577607.1065 47.8167
90 7.9989  -981.7586 -2577607.1667 47.7565
91 7.9889  -981.7586 -2577607.2258 47.6974
92 7.9788  -981.7586 -2577607.2839 47.6394
93 7.9688  -981.7587 -2577607.3408 47.5824
94 7.9588  -981.7587 -2577607.3966 47.5266
95 7.9488  -981.7587 -2577607.4514 47.4718
