0 8.9000  -915.6800 -2404117.8357 349.5960
1 8.8900  -915.6801 -2404118.0361 349.3956
2 8.8800  -915.6801 -2404118.1278 349.3040
3 8.8700  -915.6801 -2404118.2196 349.2121
4 8.8599  -915.6802 -2404118.3117 349.1201
5 8.8499  -915.6802 -2404118.4039 349.0279
6 8.8399  -915.6803 -2404118.4964 348.9354
7 8.8299  -915.6803 -2404118.5890 348.8427
8 8.8199  -915.6803 -2404118.6817 348.7500
9 8.8099  -915.6804 -2404118.7748 348.6569
10 8.7999  -915.6804 -2404118.8680 348.5637
11 8.7899  -915.6804 -2404118.9615 348.4702
12 8.7798  -915.6805 -2404119.0551 348.3766
13 8.7698  -915.6805 -2404119.1489 348.2828
14 8.7598  -915.6805 -2404119.2430 348.1888
15 8.7498  -915.6806 -2404119.3372 348.0946
16 8.7398  -915.6806 -2404119.4317 348.0001
17 8.7298  -915.6806 -2404119.5262 347.9055
18 8.7198  -915.6807 -2404119.6212 347.8106
19 8.7098  -915.6807 -2404119.7162 347.7155
20 8.6997  -915.6808 -2404119.8114 347.6204
21 8.6897  -915.6808 -2404119.9070 347.5248
22 8.6797  -915.6808 -2404120.0025 347.4293
23 8.6697  -915.6809 -2404120.0986 347.3332
24 8.6597  -915.6809 -2404120.1946 347.2372
25 8.6497  -915.6809 -2404120.2910 347.1408
26 8.6397  -915.6810 -2404120.3876 347.0442
27 8.6297  -915.6810 -2404120.4843 346.9474
28 8.6196  -915.6810 -2404120.5812 346.8506
29 8.6096  -915.6811 -2404120.6786 346.7532
30 8.5996  -915.6811 -2404120.7759 346.6558
31 8.5896  -915.6812 -2404120.8734 346.5583
32 8.5796  -915.6812 -2404120.9713 346.4604
33 8.5696  -915.6812 -2404121.0694 346.3624
34 8.5596  -915.6813 -2404121.1677 346.2640
35 8.5496  -915.6813 -2404121.2662 346.1655
36 8.5395  -915.6813 -2404121.3650 346.0668
37 8.5295  -915.6814 -2404121.4640 345.9678
38 8.5195  -915.6814 -2404121.5633 345.8685
39 8.5095  -915.6815 -2404121.6627 345.7690
40 8.4995  -915.6815 -2404121.7624 345.6694
41 8.4895  -915.6815 -2404121.8623 345.5694
42 8.4795  -915.6816 -2404121.9625 345.4692
43 8.4695  -915.6816 -2404122.0630 345.3688
44 8.4594  -915.6816 -2404122.1633 345.2684
45 8.4494  -915.6817 -2404122.2645 345.1672
46 8.4394  -915.6817 -2404122.3655 345.0662
47 8.4294  -915.6818 -2404122.4671 344.9647
48 8.4194  -915.6818 -2404122.5687 344.8630
49 8.4094  -915.6818 -2404122.6705 344.7613
50 8.3994  -915.6819 -2404122.7726 344.6592
51 8.3894  -915.6819 -2404122.8752 344.5566
52 8.3793  -915.6820 -2404122.9777 344.4540
53 8.3693  -915.6820 -2404123.0807 344.3510
54 8.3593  -915.6820 -2404123.1839 344.2478
55 8.3493  -915.6821 -2404123.2873 344.1445
56 8.3393  -915.6821 -2404123.3910 344.0407
57 8.3293  -915.6822 -2404123.4948 343.9369
58 8.3193  -915.6822 -2404123.5992 343.8325
59 8.3093  -915.6822 -2404123.7038 343.7280
60 8.2992  -915.6823 -2404123.8085 343.6233
61 8.2892  -915.6823 -2404123.9135 343.5182
62 8.2792  -915.6824 -2404124.0187 343.4131
63 8.2692  -915.6824 -2404124.1241 343.3076
64 8.2592  -915.6824 -2404124.2303 343.2015
65 8.2492  -915.6825 -2404124.3363 343.0955
66 8.2392  -915.6825 -2404124.4427 342.9891
67 8.2292  -915.6826 -2404124.5493 342.8824
68 8.2191  -915.6826 -2404124.6561 342.7757
69 8.2091  -915.6826 -2404124.7635 342.6683
70 8.1991  -915.6827 -2404124.8710 342.5608
71 8.1891  -915.6827 -2404124.9787 342.4531
72 8.1791  -915.6828 -2404125.0869 342.3448
73 8.1691  -915.6828 -2404125.1951 342.2366
