0 8.9000  -1155.1858 -3032940.2780 70.4190
1 8.8900  -1155.1859 -3032940.5612 70.1357
2 8.8800  -1155.1860 -3032940.8452 69.8518
3 8.8700  -1155.1861 -3032941.1302 69.5667
4 8.8599  -1155.1862 -3032941.4147 69.2823
5 8.8499  -1155.1863 -3032941.6999 68.9971
6 8.8399  -1155.1864 -3032941.9865 68.7104
7 8.8299  -1155.1865 -3032942.2714 68.4256
8 8.8199  -1155.1867 -3032942.5589 68.1380
9 8.8099  -1155.1868 -3032942.8461 67.8509
10 8.7999  -1155.1869 -3032943.1308 67.5662
11 8.7899  -1155.1870 -3032943.4184 67.2785
12 8.7798  -1155.1871 -3032943.7029 66.9941
13 8.7698  -1155.1872 -3032943.9906 66.7063
14 8.7598  -1155.1873 -3032944.2747 66.4222
15 8.7498  -1155.1874 -3032944.5613 66.1356
16 8.7398  -1155.1875 -3032944.8455 65.8515
17 8.7298  -1155.1876 -3032945.1309 65.5660
18 8.7198  -1155.1877 -3032945.4146 65.2824
19 8.7098  -1155.1878 -3032945.6993 64.9977
20 8.6997  -1155.1880 -3032945.9822 64.7147
21 8.6897  -1155.1881 -3032946.2663 64.4306
22 8.6797  -1155.1882 -3032946.5481 64.1489
23 8.6697  -1155.1883 -3032946.8318 63.8652
24 8.6597  -1155.1884 -3032947.1120 63.5849
25 8.6497  -1155.1885 -3032947.3950 63.3020
26 8.6397  -1155.1886 -3032947.6738 63.0232
27 8.6297  -1155.1887 -3032947.9555 62.7414
28 8.6196  -1155.1888 -3032948.2327 62.4643
29 8.6096  -1155.1889 -3032948.5127 62.1843
30 8.5996  -1155.1890 -3032948.7879 61.9091
31 8.5896  -1155.1891 -3032949.0659 61.6311
32 8.5796  -1155.1892 -3032949.3391 61.3579
33 8.5696  -1155.1893 -3032949.6146 61.0824
34 8.5596  -1155.1894 -3032949.8853 60.8117
35 8.5496  -1155.1895 -3032950.1581 60.5388
36 8.5395  -1155.1896 -3032950.4260 60.2710
37 8.5295  -1155.1898 -3032950.8535 59.8435
38 8.5195  -1155.1899 -3032951.1295 59.5675
39 8.5095  -1155.1900 -3032951.4024 59.2946
40 8.4995  -1155.1901 -3032951.6727 59.0243
41 8.4895  -1155.1902 -3032951.9403 58.7567
42 8.4795  -1155.1903 -3032952.2054 58.4916
43 8.4695  -1155.1904 -3032952.4682 58.2288
44 8.4594  -1155.1905 -3032952.7285 57.9685
45 8.4494  -1155.1906 -3032952.9866 57.7104
46 8.4394  -1155.1907 -3032953.3017 57.3953
47 8.4294  -1155.1908 -3032953.5658 57.1311
48 8.4194  -1155.1909 -3032953.8282 56.8688
49 8.4094  -1155.1910 -3032954.0846 56.6123
50 8.3994  -1155.1911 -3032954.3399 56.3571
51 8.3894  -1155.1912 -3032954.5901 56.1069
52 8.3793  -1155.1913 -3032954.8648 55.8322
53 8.3693  -1155.1914 -3032955.1191 55.5778
54 8.3593  -1155.1915 -3032955.3677 55.3293
55 8.3493  -1155.1916 -3032955.6132 55.0838
56 8.3393  -1155.1917 -3032955.8573 54.8396
57 8.3293  -1155.1918 -3032956.0959 54.6010
