0 8.9000  -1416.9838 -3720291.0928 63.2800
1 8.8900  -1416.9839 -3720291.1950 63.1779
2 8.8800  -1416.9839 -3720291.2933 63.0795
3 8.8700  -1416.9840 -3720291.3925 62.9803
4 8.8599  -1416.9840 -3720291.4900 62.8829
5 8.8499  -1416.9840 -3720291.5877 62.7852
6 8.8399  -1416.9841 -3720291.6835 62.6893
7 8.8299  -1416.9841 -3720291.7800 62.5929
8 8.8199  -1416.9841 -3720291.8856 62.4872
9 8.8099  -1416.9842 -3720291.9834 62.3894
10 8.7999  -1416.9842 -3720292.0797 62.2932
11 8.7899  -1416.9843 -3720292.1775 62.1953
12 8.7798  -1416.9843 -3720292.2733 62.0995
13 8.7698  -1416.9843 -3720292.3697 62.0032
14 8.7598  -1416.9844 -3720292.4669 61.9059
15 8.7498  -1416.9844 -3720292.5615 61.8113
16 8.7398  -1416.9844 -3720292.6568 61.7161
17 8.7298  -1416.9845 -3720292.7817 61.5911
18 8.7198  -1416.9845 -3720292.8811 61.4917
19 8.7098  -1416.9846 -3720292.9787 61.3941
20 8.6997  -1416.9846 -3720293.0764 61.2965
21 8.6897  -1416.9846 -3720293.1739 61.1990
22 8.6797  -1416.9847 -3720293.2712 61.1016
23 8.6697  -1416.9847 -3720293.3685 61.0043
24 8.6597  -1416.9848 -3720293.4659 60.9070
25 8.6497  -1416.9848 -3720293.5633 60.8095
26 8.6397  -1416.9848 -3720293.6609 60.7120
27 8.6297  -1416.9849 -3720293.7628 60.6101
28 8.6196  -1416.9849 -3720293.8601 60.5128
29 8.6096  -1416.9849 -3720293.9565 60.4164
30 8.5996  -1416.9850 -3720294.0530 60.3199
31 8.5896  -1416.9850 -3720294.1545 60.2184
32 8.5796  -1416.9851 -3720294.2516 60.1213
33 8.5696  -1416.9851 -3720294.3475 60.0253
34 8.5596  -1416.9851 -3720294.4437 59.9292
35 8.5496  -1416.9852 -3720294.5456 59.8273
36 8.5395  -1416.9852 -3720294.6426 59.7303
37 8.5295  -1416.9852 -3720294.7385 59.6343
38 8.5195  -1416.9853 -3720294.8571 59.5158
39 8.5095  -1416.9853 -3720294.9562 59.4167
40 8.4995  -1416.9854 -3720295.0539 59.3190
41 8.4895  -1416.9854 -3720295.1506 59.2222
42 8.4795  -1416.9854 -3720295.2470 59.1259
43 8.4695  -1416.9855 -3720295.3433 59.0296
44 8.4594  -1416.9855 -3720295.4399 58.9330
45 8.4494  -1416.9855 -3720295.5448 58.8281
46 8.4394  -1416.9856 -3720295.6432 58.7297
47 8.4294  -1416.9856 -3720295.7412 58.6316
48 8.4194  -1416.9857 -3720295.8383 58.5346
49 8.4094  -1416.9857 -3720295.9356 58.4373
50 8.3994  -1416.9857 -3720296.0339 58.3389
