0 8.9000  -969.9408 -2546579.5871 103.0370
1 8.8900  -969.9409 -2546579.8044 102.8197
2 8.8800  -969.9410 -2546580.0164 102.6077
3 8.8700  -969.9410 -2546580.2240 102.4000
4 8.8599  -969.9411 -2546580.4279 102.1962
5 8.8499  -969.9412 -2546580.6281 101.9960
6 8.8399  -969.9413 -2546580.8252 101.7989
7 8.8299  -969.9414 -2546581.0193 101.6048
8 8.8199  -969.9414 -2546581.2108 101.4133
9 8.8099  -969.9415 -2546581.4002 101.2238
10 8.7999  -969.9416 -2546581.5881 101.0360
11 8.7899  -969.9416 -2546581.7751 100.8489
12 8.7798  -969.9417 -2546581.9622 100.6619
13 8.7698  -969.9418 -2546582.1504 100.4737
14 8.7598  -969.9419 -2546582.3402 100.2838
15 8.7498  -969.9419 -2546582.5371 100.0869
16 8.7398  -969.9420 -2546582.7299 99.8942
17 8.7298  -969.9421 -2546582.9200 99.7040
18 8.7198  -969.9421 -2546583.1083 99.5158
19 8.7098  -969.9422 -2546583.2944 99.3296
20 8.6997  -969.9423 -2546583.4784 99.1457
21 8.6897  -969.9424 -2546583.6601 98.9640
22 8.6797  -969.9424 -2546583.8397 98.7844
23 8.6697  -969.9425 -2546584.0173 98.6068
24 8.6597  -969.9426 -2546584.1932 98.4309
25 8.6497  -969.9426 -2546584.3675 98.2566
26 8.6397  -969.9427 -2546584.5408 98.0833
27 8.6297  -969.9428 -2546584.7135 97.9106
28 8.6196  -969.9428 -2546584.8866 97.7375
29 8.6096  -969.9429 -2546585.0614 97.5626
30 8.5996  -969.9430 -2546585.2410 97.3831
31 8.5896  -969.9432 -2546585.7879 96.8362
32 8.5796  -969.9433 -2546586.0218 96.6023
33 8.5696  -969.9433 -2546586.2552 96.3689
34 8.5596  -969.9434 -2546586.4889 96.1352
35 8.5496  -969.9435 -2546586.7208 95.9032
36 8.5395  -969.9436 -2546586.9528 95.6713
37 8.5295  -969.9437 -2546587.1847 95.4394
38 8.5195  -969.9438 -2546587.4160 95.2081
39 8.5095  -969.9439 -2546587.6469 94.9772
40 8.4995  -969.9440 -2546587.8773 94.7468
41 8.4895  -969.9441 -2546588.1074 94.5167
42 8.4795  -969.9441 -2546588.3371 94.2870
43 8.4695  -969.9442 -2546588.5663 94.0578
44 8.4594  -969.9443 -2546588.7951 93.8289
45 8.4494  -969.9444 -2546589.0234 93.6007
46 8.4394  -969.9445 -2546589.2512 93.3729
47 8.4294  -969.9446 -2546589.4782 93.1458
48 8.4194  -969.9447 -2546589.7045 92.9195
49 8.4094  -969.9447 -2546589.9299 92.6941
50 8.3994  -969.9448 -2546590.1533 92.4708
51 8.3894  -969.9449 -2546590.3771 92.2469
52 8.3793  -969.9450 -2546590.5994 92.0247
53 8.3693  -969.9451 -2546590.8203 91.8038
54 8.3593  -969.9452 -2546591.0386 91.5855
55 8.3493  -969.9453 -2546591.2574 91.3666
56 8.3393  -969.9453 -2546591.4744 91.1497
57 8.3293  -969.9454 -2546591.6897 90.9344
58 8.3193  -969.9455 -2546591.9020 90.7221
59 8.3093  -969.9456 -2546592.1150 90.5090
60 8.2992  -969.9457 -2546592.3269 90.2971
61 8.2892  -969.9457 -2546592.5358 90.0883
62 8.2792  -969.9458 -2546592.7432 89.8808
63 8.2692  -969.9459 -2546592.9491 89.6750
64 8.2592  -969.9460 -2546593.1533 89.4708
65 8.2492  -969.9461 -2546593.3560 89.2681
66 8.2392  -969.9461 -2546593.5570 89.0671
67 8.2292  -969.9462 -2546593.7565 88.8676
68 8.2191  -969.9463 -2546593.9556 88.6685
69 8.2091  -969.9464 -2546594.1526 88.4715
70 8.1991  -969.9464 -2546594.3478 88.2763
71 8.1891  -969.9465 -2546594.5414 88.0827
72 8.1791  -969.9466 -2546594.7334 87.8907
73 8.1691  -969.9466 -2546594.9238 87.7003
74 8.1591  -969.9467 -2546595.1127 87.5114
75 8.1491  -969.9468 -2546595.3002 87.3239
76 8.1390  -969.9469 -2546595.4862 87.1379
77 8.1290  -969.9469 -2546595.6708 86.9533
78 8.1190  -969.9470 -2546595.8540 86.7701
79 8.1090  -969.9471 -2546596.0359 86.5881
80 8.0990  -969.9471 -2546596.2166 86.4075
81 8.0890  -969.9472 -2546596.3962 86.2279
82 8.0790  -969.9473 -2546596.5744 86.0497
83 8.0690  -969.9473 -2546596.7515 85.8726
84 8.0589  -969.9474 -2546596.9274 85.6967
85 8.0489  -969.9475 -2546597.1022 85.5219
86 8.0389  -969.9475 -2546597.2759 85.3482
87 8.0289  -969.9476 -2546597.4485 85.1756
88 8.0189  -969.9477 -2546597.6202 85.0039
89 8.0089  -969.9477 -2546597.7909 84.8332
90 7.9989  -969.9478 -2546597.9607 84.6633
91 7.9889  -969.9479 -2546598.1297 84.4944
92 7.9788  -969.9479 -2546598.2978 84.3263
93 7.9688  -969.9480 -2546598.4652 84.1589
94 7.9588  -969.9481 -2546598.6318 83.9923
95 7.9488  -969.9481 -2546598.7978 83.8263
96 7.9388  -969.9482 -2546598.9631 83.6610
97 7.9288  -969.9482 -2546599.1278 83.4963
98 7.9188  -969.9483 -2546599.2920 83.3321
99 7.9088  -969.9484 -2546599.4558 83.1683
100 7.8987  -969.9484 -2546599.6193 83.0048
101 7.8887  -969.9485 -2546599.7824 82.8417
102 7.8787  -969.9486 -2546599.9454 82.6786
103 7.8687  -969.9486 -2546600.1024 82.5217
104 7.8587  -969.9487 -2546600.2641 82.3600
105 7.8487  -969.9487 -2546600.4192 82.2049
106 7.8387  -969.9488 -2546600.6297 81.9944
107 7.8287  -969.9489 -2546600.7928 81.8313
108 7.8186  -969.9489 -2546600.9539 81.6702
109 7.8086  -969.9490 -2546601.1137 81.5104
110 7.7986  -969.9491 -2546601.2727 81.3514
111 7.7886  -969.9491 -2546601.4312 81.1929
112 7.7786  -969.9492 -2546601.5894 81.0347
113 7.7686  -969.9492 -2546601.7476 80.8765
114 7.7586  -969.9493 -2546601.9061 80.7180
115 7.7486  -969.9494 -2546602.0652 80.5589
116 7.7385  -969.9494 -2546602.2252 80.3988
117 7.7285  -969.9495 -2546602.3868 80.2373
118 7.7185  -969.9498 -2546603.1008 79.5233
119 7.7085  -969.9498 -2546603.2863 79.3378
120 7.6985  -969.9499 -2546603.4710 79.1531
121 7.6885  -969.9500 -2546603.6557 78.9684
122 7.6785  -969.9500 -2546603.8407 78.7834
123 7.6685  -969.9501 -2546604.0261 78.5979
124 7.6584  -969.9502 -2546604.2124 78.4117
125 7.6484  -969.9503 -2546604.3996 78.2244
126 7.6384  -969.9503 -2546604.5881 78.0360
127 7.6284  -969.9504 -2546604.7781 77.8460
128 7.6184  -969.9505 -2546605.0738 77.5503
129 7.6084  -969.9506 -2546605.2732 77.3509
130 7.5984  -969.9507 -2546605.4721 77.1519
131 7.5884  -969.9507 -2546605.6711 76.9530
132 7.5783  -969.9508 -2546605.8706 76.7535
133 7.5683  -969.9509 -2546606.0708 76.5533
134 7.5583  -969.9510 -2546606.2722 76.3519
135 7.5483  -969.9510 -2546606.4750 76.1491
136 7.5383  -969.9511 -2546606.6795 75.9446
137 7.5283  -969.9512 -2546606.8862 75.7379
138 7.5183  -969.9513 -2546607.2502 75.3739
139 7.5083  -969.9514 -2546607.4677 75.1564
140 7.4982  -969.9515 -2546607.6847 74.9394
141 7.4882  -969.9516 -2546607.9015 74.7226
142 7.4782  -969.9517 -2546608.1182 74.5058
143 7.4682  -969.9518 -2546608.3352 74.2889
144 7.4582  -969.9518 -2546608.5523 74.0717
145 7.4482  -969.9519 -2546608.7699 73.8542
146 7.4382  -969.9520 -2546608.9880 73.6361
147 7.4282  -969.9521 -2546609.2068 73.4173
148 7.4181  -969.9522 -2546609.4264 73.1977
149 7.4081  -969.9523 -2546609.6469 72.9772
150 7.3981  -969.9524 -2546610.0411 72.5830
151 7.3881  -969.9525 -2546610.2733 72.3508
152 7.3781  -969.9526 -2546610.5043 72.1198
153 7.3681  -969.9527 -2546610.7345 71.8896
154 7.3581  -969.9528 -2546610.9642 71.6599
155 7.3481  -969.9528 -2546611.1932 71.4308
156 7.3380  -969.9529 -2546611.4216 71.2025
157 7.3280  -969.9530 -2546611.6493 70.9747
158 7.3180  -969.9531 -2546611.8764 70.7477
159 7.3080  -969.9532 -2546612.1027 70.5214
160 7.2980  -969.9533 -2546612.3283 70.2958
161 7.2880  -969.9534 -2546612.5532 70.0708
162 7.2780  -969.9534 -2546612.7775 69.8466
163 7.2680  -969.9535 -2546613.0009 69.6231
164 7.2579  -969.9536 -2546613.2237 69.4004
165 7.2479  -969.9537 -2546613.4456 69.1785
166 7.2379  -969.9538 -2546613.6667 68.9574
167 7.2279  -969.9539 -2546613.8870 68.7371
168 7.2179  -969.9540 -2546614.1640 68.4600
169 7.2079  -969.9541 -2546614.3845 68.2396
170 7.1979  -969.9541 -2546614.6030 68.0211
171 7.1879  -969.9542 -2546614.8202 67.8039
172 7.1778  -969.9543 -2546615.0360 67.5881
173 7.1678  -969.9544 -2546615.2506 67.3735
174 7.1578  -969.9545 -2546615.4676 67.1565
175 7.1478  -969.9546 -2546615.6790 66.9451
176 7.1378  -969.9546 -2546615.8908 66.7333
177 7.1278  -969.9547 -2546616.0994 66.5247
178 7.1178  -969.9548 -2546616.3131 66.3110
179 7.1078  -969.9549 -2546616.5201 66.1040
180 7.0977  -969.9550 -2546616.7235 65.9006
181 7.0877  -969.9550 -2546616.9254 65.6987
182 7.0777  -969.9551 -2546617.1377 65.4864
183 7.0677  -969.9552 -2546617.3387 65.2854
184 7.0577  -969.9553 -2546617.5365 65.0875
185 7.0477  -969.9553 -2546617.7334 64.8907
186 7.0377  -969.9554 -2546617.9627 64.6613
187 7.0277  -969.9555 -2546618.1596 64.4645
188 7.0176  -969.9556 -2546618.3539 64.2701
189 7.0076  -969.9556 -2546618.5470 64.0771
190 6.9976  -969.9557 -2546618.7463 63.8778
191 6.9876  -969.9558 -2546618.9361 63.6880
192 6.9776  -969.9559 -2546619.1234 63.5007
193 6.9676  -969.9559 -2546619.3096 63.3145
194 6.9576  -969.9560 -2546619.5044 63.1197
195 6.9476  -969.9561 -2546619.6875 62.9366
196 6.9375  -969.9561 -2546619.8673 62.7568
197 6.9275  -969.9562 -2546620.0458 62.5782
198 6.9175  -969.9563 -2546620.2349 62.3892
199 6.9075  -969.9564 -2546620.4112 62.2129
200 6.8975  -969.9564 -2546620.5835 62.0406
201 6.8875  -969.9565 -2546620.7541 61.8700
202 6.8775  -969.9566 -2546620.9363 61.6878
203 6.8675  -969.9566 -2546621.1050 61.5191
204 6.8574  -969.9567 -2546621.2693 61.3548
205 6.8474  -969.9567 -2546621.4318 61.1923
206 6.8374  -969.9568 -2546621.6103 61.0138
207 6.8274  -969.9569 -2546621.7722 60.8518
208 6.8174  -969.9569 -2546621.9293 60.6948
209 6.8074  -969.9570 -2546622.0843 60.5398
210 6.7974  -969.9571 -2546622.2559 60.3682
211 6.7874  -969.9571 -2546622.4123 60.2118
212 6.7773  -969.9572 -2546622.5625 60.0616
213 6.7673  -969.9572 -2546622.7101 59.9140
214 6.7573  -969.9573 -2546622.8932 59.7309
215 6.7473  -969.9574 -2546623.0416 59.5825
216 6.7373  -969.9574 -2546623.1866 59.4375
217 6.7273  -969.9575 -2546623.3296 59.2945
218 6.7173  -969.9575 -2546623.4809 59.1432
219 6.7073  -969.9576 -2546623.6204 59.0037
220 6.6972  -969.9576 -2546623.7563 58.8678
221 6.6872  -969.9577 -2546623.8905 58.7335
222 6.6772  -969.9577 -2546624.0365 58.5876
223 6.6672  -969.9578 -2546624.1688 58.4552
224 6.6572  -969.9578 -2546624.2970 58.3271
225 6.6472  -969.9579 -2546624.4235 58.2006
226 6.6372  -969.9579 -2546624.5810 58.0431
227 6.6272  -969.9580 -2546624.7081 57.9160
228 6.6171  -969.9580 -2546624.8319 57.7922
229 6.6071  -969.9581 -2546624.9538 57.6703
230 6.5971  -969.9581 -2546625.0838 57.5403
231 6.5871  -969.9582 -2546625.2022 57.4218
232 6.5771  -969.9582 -2546625.3171 57.3069
233 6.5671  -969.9583 -2546625.4305 57.1936
234 6.5571  -969.9583 -2546625.5668 57.0573
235 6.5471  -969.9584 -2546625.6808 56.9433
236 6.5370  -969.9584 -2546625.7913 56.8328
237 6.5270  -969.9584 -2546625.9054 56.7187
238 6.5170  -969.9585 -2546626.0118 56.6122
239 6.5070  -969.9585 -2546626.1152 56.5088
240 6.4970  -969.9586 -2546626.2522 56.3718
241 6.4870  -969.9586 -2546626.3585 56.2655
242 6.4770  -969.9587 -2546626.4614 56.1627
243 6.4670  -969.9587 -2546626.5624 56.0617
244 6.4569  -969.9587 -2546626.6717 55.9524
245 6.4469  -969.9588 -2546626.7699 55.8542
246 6.4369  -969.9588 -2546626.8646 55.7595
247 6.4269  -969.9588 -2546626.9579 55.6661
248 6.4169  -969.9589 -2546627.0910 55.5331
249 6.4069  -969.9589 -2546627.1888 55.4353
250 6.3969  -969.9590 -2546627.2831 55.3409
251 6.3869  -969.9590 -2546627.3757 55.2484
252 6.3768  -969.9590 -2546627.4768 55.1473
253 6.3668  -969.9591 -2546627.5669 55.0572
254 6.3568  -969.9591 -2546627.6535 54.9706
255 6.3468  -969.9591 -2546627.7390 54.8851
256 6.3368  -969.9592 -2546627.9210 54.7031
257 6.3268  -969.9593 -2546628.0178 54.6063
258 6.3168  -969.9593 -2546628.1109 54.5132
259 6.3068  -969.9593 -2546628.2022 54.4219
260 6.2967  -969.9594 -2546628.3087 54.3153
261 6.2867  -969.9594 -2546628.4009 54.2232
262 6.2767  -969.9594 -2546628.4901 54.1340
263 6.2667  -969.9595 -2546628.5837 54.0404
264 6.2567  -969.9595 -2546628.6706 53.9535
265 6.2467  -969.9595 -2546628.7549 53.8692
266 6.2367  -969.9596 -2546628.8833 53.7408
267 6.2267  -969.9596 -2546628.9760 53.6481
268 6.2166  -969.9597 -2546629.0655 53.5586
269 6.2066  -969.9597 -2546629.1535 53.4706
270 6.1966  -969.9597 -2546629.2747 53.3493
271 6.1866  -969.9598 -2546629.3695 53.2546
272 6.1766  -969.9598 -2546629.4609 53.1632
273 6.1666  -969.9598 -2546629.5507 53.0734
274 6.1566  -969.9599 -2546629.6487 52.9754
275 6.1466  -969.9599 -2546629.7376 52.8865
276 6.1365  -969.9599 -2546629.8234 52.8007
277 6.1265  -969.9600 -2546629.9088 52.7152
278 6.1165  -969.9600 -2546630.0634 52.5607
279 6.1065  -969.9601 -2546630.1639 52.4601
280 6.0965  -969.9601 -2546630.2624 52.3617
281 6.0865  -969.9601 -2546630.3595 52.2646
282 6.0765  -969.9602 -2546630.4558 52.1683
283 6.0665  -969.9602 -2546630.5517 52.0724
284 6.0564  -969.9603 -2546630.7109 51.9132
285 6.0464  -969.9603 -2546630.8251 51.7990
286 6.0364  -969.9604 -2546630.9366 51.6875
287 6.0264  -969.9604 -2546631.0468 51.5773
288 6.0164  -969.9604 -2546631.1562 51.4679
289 6.0064  -969.9605 -2546631.3338 51.2902
290 5.9964  -969.9606 -2546631.4673 51.1567
291 5.9864  -969.9606 -2546631.5981 51.0260
292 5.9763  -969.9607 -2546631.7277 50.8964
293 5.9663  -969.9607 -2546631.8565 50.7675
294 5.9563  -969.9608 -2546632.0557 50.5684
295 5.9463  -969.9608 -2546632.2098 50.4142
296 5.9363  -969.9609 -2546632.3615 50.2626
297 5.9263  -969.9610 -2546632.5122 50.1119
298 5.9163  -969.9610 -2546632.6624 49.9617
299 5.9063  -969.9618 -2546634.6973 47.9268
300 5.8962  -969.9619 -2546635.0271 47.5970
301 5.8862  -969.9620 -2546635.3568 47.2673
302 5.8762  -969.9622 -2546635.6889 46.9351
303 5.8662  -969.9623 -2546636.0178 46.6063
304 5.8562  -969.9624 -2546636.3462 46.2779
305 5.8462  -969.9625 -2546636.6736 45.9505
306 5.8362  -969.9627 -2546637.0105 45.6136
307 5.8262  -969.9628 -2546637.3406 45.2834
308 5.8161  -969.9629 -2546637.6699 44.9542
309 5.8061  -969.9631 -2546637.9978 44.6263
310 5.7961  -969.9632 -2546638.3357 44.2884
311 5.7861  -969.9633 -2546638.6663 43.9577
312 5.7761  -969.9634 -2546638.9955 43.6286
313 5.7661  -969.9636 -2546639.3231 43.3010
314 5.7561  -969.9637 -2546639.6601 42.9640
315 5.7461  -969.9638 -2546639.9897 42.6344
316 5.7360  -969.9639 -2546640.3176 42.3064
317 5.7260  -969.9641 -2546640.6437 41.9804
318 5.7160  -969.9642 -2546640.9785 41.6456
319 5.7060  -969.9643 -2546641.3058 41.3183
320 5.6960  -969.9644 -2546641.6313 40.9927
321 5.6860  -969.9646 -2546641.9547 40.6694
322 5.6760  -969.9647 -2546642.2861 40.3380
323 5.6660  -969.9648 -2546642.6101 40.0140
324 5.6559  -969.9649 -2546642.9321 39.6920
325 5.6459  -969.9651 -2546643.2522 39.3719
326 5.6359  -969.9652 -2546643.5793 39.0448
327 5.6259  -969.9653 -2546643.8991 38.7250
328 5.6159  -969.9654 -2546644.2171 38.4070
329 5.6059  -969.9655 -2546644.5326 38.0915
330 5.5959  -969.9657 -2546644.8541 37.7700
331 5.5859  -969.9658 -2546645.1688 37.4553
332 5.5758  -969.9659 -2546645.4815 37.1426
333 5.5658  -969.9660 -2546645.7915 36.8326
334 5.5558  -969.9661 -2546646.1071 36.5170
335 5.5458  -969.9663 -2546646.4159 36.2082
336 5.5358  -969.9664 -2546646.7223 35.9018
337 5.5258  -969.9665 -2546647.0257 35.5983
338 5.5158  -969.9666 -2546647.3333 35.2908
339 5.5058  -969.9667 -2546647.6336 34.9905
340 5.4957  -969.9668 -2546647.9367 34.6874
341 5.4857  -969.9670 -2546648.2336 34.3905
342 5.4757  -969.9671 -2546648.5287 34.0954
343 5.4657  -969.9672 -2546648.8197 33.8044
344 5.4557  -969.9673 -2546649.1154 33.5087
345 5.4457  -969.9674 -2546649.4033 33.2208
346 5.4357  -969.9675 -2546649.6884 32.9357
347 5.4257  -969.9676 -2546649.9683 32.6558
348 5.4156  -969.9677 -2546650.2518 32.3723
349 5.4056  -969.9678 -2546650.5271 32.0970
350 5.3956  -969.9679 -2546650.7991 31.8250
351 5.3856  -969.9680 -2546651.0666 31.5575
352 5.3756  -969.9681 -2546651.3304 31.2936
353 5.3656  -969.9682 -2546651.5927 31.0313
354 5.3556  -969.9683 -2546651.8489 30.7752
355 5.3456  -969.9684 -2546652.1033 30.5208
356 5.3355  -969.9685 -2546652.3522 30.2719
357 5.3255  -969.9686 -2546652.5968 30.0273
358 5.3155  -969.9687 -2546652.8368 29.7873
359 5.3055  -969.9688 -2546653.0701 29.5539
360 5.2955  -969.9689 -2546653.3008 29.3233
361 5.2855  -969.9690 -2546653.5254 29.0987
362 5.2755  -969.9691 -2546653.7427 28.8814
363 5.2655  -969.9691 -2546653.9573 28.6668
364 5.2554  -969.9692 -2546654.1643 28.4597
365 5.2454  -969.9693 -2546654.3663 28.2578
366 5.2354  -969.9694 -2546654.5618 28.0623
367 5.2254  -969.9694 -2546654.7505 27.8735
368 5.2154  -969.9695 -2546654.9309 27.6932
369 5.2054  -969.9696 -2546655.1068 27.5172
370 5.1954  -969.9696 -2546655.2747 27.3494
371 5.1854  -969.9697 -2546655.4337 27.1903
372 5.1753  -969.9698 -2546655.5884 27.0356
373 5.1653  -969.9698 -2546655.7338 26.8903
374 5.1553  -969.9699 -2546655.8716 26.7525
