0 8.9000  -1071.6821 -2813701.3356 142.5830
1 8.8900  -1071.6821 -2813701.4637 142.4549
2 8.8800  -1071.6822 -2813701.5867 142.3319
3 8.8700  -1071.6822 -2813701.7137 142.2049
4 8.8599  -1071.6823 -2813701.8391 142.0795
5 8.8499  -1071.6823 -2813701.9642 141.9544
6 8.8399  -1071.6824 -2813702.0906 141.8280
7 8.8299  -1071.6824 -2813702.2116 141.7070
8 8.8199  -1071.6825 -2813702.3379 141.5807
9 8.8099  -1071.6825 -2813702.4630 141.4556
10 8.7999  -1071.6826 -2813702.5879 141.3307
11 8.7899  -1071.6826 -2813702.7130 141.2056
12 8.7798  -1071.6827 -2813702.8376 141.0810
13 8.7698  -1071.6827 -2813702.9626 140.9560
14 8.7598  -1071.6828 -2813703.0884 140.8302
15 8.7498  -1071.6828 -2813703.2134 140.7052
16 8.7398  -1071.6829 -2813703.3389 140.5797
17 8.7298  -1071.6829 -2813703.4653 140.4532
18 8.7198  -1071.6830 -2813703.5914 140.3272
19 8.7098  -1071.6830 -2813703.7182 140.2004
20 8.6997  -1071.6830 -2813703.8395 140.0791
21 8.6897  -1071.6831 -2813703.9668 139.9518
22 8.6797  -1071.6831 -2813704.0998 139.8188
23 8.6697  -1071.6832 -2813704.2294 139.6892
24 8.6597  -1071.6832 -2813704.3589 139.5597
25 8.6497  -1071.6833 -2813704.4891 139.4295
26 8.6397  -1071.6833 -2813704.6198 139.2988
27 8.6297  -1071.6834 -2813704.7521 139.1665
28 8.6196  -1071.6834 -2813704.8836 139.0350
29 8.6096  -1071.6835 -2813705.0166 138.9020
30 8.5996  -1071.6835 -2813705.1510 138.7676
31 8.5896  -1071.6836 -2813705.2846 138.6340
32 8.5796  -1071.6836 -2813705.4190 138.4996
33 8.5696  -1071.6837 -2813705.5559 138.3627
34 8.5596  -1071.6838 -2813705.6917 138.2269
35 8.5496  -1071.6838 -2813705.8307 138.0879
36 8.5395  -1071.6839 -2813705.9603 137.9583
37 8.5295  -1071.6839 -2813706.1060 137.8126
38 8.5195  -1071.6840 -2813706.2524 137.6662
39 8.5095  -1071.6840 -2813706.3954 137.5232
40 8.4995  -1071.6841 -2813706.5340 137.3846
41 8.4895  -1071.6841 -2813706.6800 137.2386
42 8.4795  -1071.6842 -2813706.8332 137.0854
43 8.4695  -1071.6842 -2813706.9820 136.9365
44 8.4594  -1071.6843 -2813707.1258 136.7928
45 8.4494  -1071.6844 -2813707.2794 136.6392
46 8.4394  -1071.6844 -2813707.4429 136.4757
47 8.4294  -1071.6845 -2813707.5986 136.3200
48 8.4194  -1071.6845 -2813707.7553 136.1633
49 8.4094  -1071.6846 -2813707.9054 136.0132
50 8.3994  -1071.6847 -2813708.0706 135.8480
51 8.3894  -1071.6847 -2813708.2374 135.6812
52 8.3793  -1071.6848 -2813708.4046 135.5140
53 8.3693  -1071.6848 -2813708.5715 135.3470
54 8.3593  -1071.6849 -2813708.7423 135.1763
55 8.3493  -1071.6862 -2813712.1472 131.7714
56 8.3393  -1071.6863 -2813712.3610 131.5576
57 8.3293  -1071.6864 -2813712.5975 131.3211
58 8.3193  -1071.6865 -2813712.8218 131.0968
59 8.3093  -1071.6866 -2813713.0519 130.8667
60 8.2992  -1071.6866 -2813713.2778 130.6408
61 8.2892  -1071.6867 -2813713.5059 130.4127
62 8.2792  -1071.6868 -2813713.7360 130.1826
63 8.2692  -1071.6869 -2813713.9698 129.9488
64 8.2592  -1071.6870 -2813714.2050 129.7136
