0 8.9000  -1005.6971 -2640457.6473 200.8102
1 8.8900  -1005.6971 -2640457.8426 200.6149
2 8.8800  -1005.6972 -2640458.0397 200.4178
3 8.8700  -1005.6973 -2640458.2382 200.2193
4 8.8599  -1005.6974 -2640458.4376 200.0198
5 8.8499  -1005.6974 -2640458.6389 199.8186
6 8.8399  -1005.6975 -2640458.8415 199.6159
7 8.8299  -1005.6976 -2640459.0455 199.4120
8 8.8199  -1005.6977 -2640459.2507 199.2068
9 8.8099  -1005.6978 -2640459.4572 199.0002
10 8.7999  -1005.6978 -2640459.6657 198.7917
11 8.7899  -1005.6979 -2640459.8752 198.5823
12 8.7798  -1005.6980 -2640460.0860 198.3715
13 8.7698  -1005.6981 -2640460.2982 198.1593
14 8.7598  -1005.6982 -2640460.5118 197.9456
15 8.7498  -1005.6982 -2640460.7269 197.7306
16 8.7398  -1005.6983 -2640460.9434 197.5141
17 8.7298  -1005.6984 -2640461.1614 197.2961
18 8.7198  -1005.6985 -2640461.3808 197.0767
19 8.7098  -1005.6986 -2640461.6019 196.8556
20 8.6997  -1005.6987 -2640461.8249 196.6325
21 8.6897  -1005.6987 -2640462.0487 196.4087
22 8.6797  -1005.6988 -2640462.2739 196.1835
23 8.6697  -1005.6989 -2640462.5006 195.9569
24 8.6597  -1005.6990 -2640462.7287 195.7288
25 8.6497  -1005.6991 -2640462.9581 195.4993
26 8.6397  -1005.6992 -2640463.1892 195.2683
27 8.6297  -1005.6993 -2640463.4215 195.0360
28 8.6196  -1005.6994 -2640463.6562 194.8013
29 8.6096  -1005.6994 -2640463.8914 194.5661
30 8.5996  -1005.6995 -2640464.1278 194.3296
31 8.5896  -1005.6996 -2640464.3665 194.0910
32 8.5796  -1005.6997 -2640464.6057 193.8518
33 8.5696  -1005.6998 -2640464.8462 193.6112
34 8.5596  -1005.6999 -2640465.0881 193.3694
35 8.5496  -1005.7000 -2640465.3339 193.1236
36 8.5395  -1005.7001 -2640465.5785 192.8789
37 8.5295  -1005.7002 -2640465.8245 192.6330
38 8.5195  -1005.7003 -2640466.0716 192.3858
39 8.5095  -1005.7004 -2640466.3201 192.1374
40 8.4995  -1005.7005 -2640466.5698 191.8877
41 8.4895  -1005.7006 -2640466.8207 191.6368
42 8.4795  -1005.7007 -2640467.0729 191.3846
43 8.4695  -1005.7008 -2640467.3263 191.1312
44 8.4594  -1005.7008 -2640467.5809 190.8765
45 8.4494  -1005.7009 -2640467.8368 190.6206
46 8.4394  -1005.7010 -2640468.0940 190.3635
47 8.4294  -1005.7011 -2640468.3523 190.1052
48 8.4194  -1005.7012 -2640468.6119 189.8456
49 8.4094  -1005.7013 -2640468.8727 189.5847
50 8.3994  -1005.7014 -2640469.1353 189.3221
51 8.3894  -1005.7015 -2640469.3990 189.0585
52 8.3793  -1005.7016 -2640469.6637 188.7938
53 8.3693  -1005.7017 -2640469.9296 188.5279
54 8.3593  -1005.7018 -2640470.1967 188.2608
55 8.3493  -1005.7019 -2640470.4651 187.9924
56 8.3393  -1005.7021 -2640470.7348 187.7227
57 8.3293  -1005.7022 -2640471.0057 187.4517
58 8.3193  -1005.7023 -2640471.2781 187.1794
59 8.3093  -1005.7024 -2640471.5519 186.9056
60 8.2992  -1005.7025 -2640471.8271 186.6303
61 8.2892  -1005.7026 -2640472.1039 186.3536
62 8.2792  -1005.7027 -2640472.3820 186.0755
63 8.2692  -1005.7028 -2640472.6603 185.7971
64 8.2592  -1005.7029 -2640472.9399 185.5176
65 8.2492  -1005.7030 -2640473.2206 185.2368
66 8.2392  -1005.7031 -2640473.5026 184.9549
67 8.2292  -1005.7032 -2640473.7857 184.6718
68 8.2191  -1005.7033 -2640474.0701 184.3874
69 8.2091  -1005.7034 -2640474.3557 184.1018
70 8.1991  -1005.7035 -2640474.6425 183.8150
71 8.1891  -1005.7036 -2640474.9300 183.5275
72 8.1791  -1005.7038 -2640475.2183 183.2392
73 8.1691  -1005.7039 -2640475.5075 182.9500
74 8.1591  -1005.7040 -2640475.7976 182.6599
75 8.1491  -1005.7041 -2640476.0885 182.3690
76 8.1390  -1005.7042 -2640476.3801 182.0773
77 8.1290  -1005.7043 -2640476.6725 181.7849
78 8.1190  -1005.7044 -2640476.9655 181.4919
79 8.1090  -1005.7045 -2640477.2584 181.1990
80 8.0990  -1005.7046 -2640477.5530 180.9044
81 8.0890  -1005.7048 -2640477.8471 180.6104
82 8.0790  -1005.7049 -2640478.1428 180.3147
83 8.0690  -1005.7050 -2640478.4379 180.0196
84 8.0589  -1005.7051 -2640478.7346 179.7229
85 8.0489  -1005.7052 -2640479.0306 179.4268
86 8.0389  -1005.7053 -2640479.3286 179.1289
87 8.0289  -1005.7054 -2640479.6263 178.8312
88 8.0189  -1005.7098 -2640491.0045 167.4529
89 8.0089  -1005.7098 -2640491.0858 167.3717
90 7.9989  -1005.7098 -2640491.1638 167.2936
91 7.9889  -1005.7099 -2640491.2402 167.2173
92 7.9788  -1005.7099 -2640491.3153 167.1422
93 7.9688  -1005.7099 -2640491.3898 167.0676
94 7.9588  -1005.7100 -2640491.4791 166.9784
95 7.9488  -1005.7100 -2640491.5545 166.9030
96 7.9388  -1005.7100 -2640491.6263 166.8311
97 7.9288  -1005.7100 -2640491.6965 166.7609
98 7.9188  -1005.7101 -2640491.7661 166.6914
99 7.9088  -1005.7101 -2640491.8547 166.6028
100 7.8987  -1005.7101 -2640491.9272 166.5302
101 7.8887  -1005.7101 -2640491.9959 166.4616
102 7.8787  -1005.7102 -2640492.0629 166.3945
103 7.8687  -1005.7102 -2640492.1520 166.3055
104 7.8587  -1005.7102 -2640492.2233 166.2342
105 7.8487  -1005.7103 -2640492.2903 166.1672
106 7.8387  -1005.7103 -2640492.3553 166.1021
107 7.8287  -1005.7103 -2640492.4451 166.0124
108 7.8186  -1005.7103 -2640492.5149 165.9425
109 7.8086  -1005.7104 -2640492.5801 165.8774
110 7.7986  -1005.7104 -2640492.6429 165.8146
111 7.7886  -1005.7104 -2640492.7327 165.7248
112 7.7786  -1005.7105 -2640492.8003 165.6571
113 7.7686  -1005.7105 -2640492.8635 165.5940
114 7.7586  -1005.7105 -2640492.9244 165.5330
115 7.7486  -1005.7105 -2640493.0320 165.4255
116 7.7385  -1005.7106 -2640493.0967 165.3607
117 7.7285  -1005.7106 -2640493.1583 165.2991
118 7.7185  -1005.7106 -2640493.2311 165.2264
119 7.7085  -1005.7106 -2640493.2937 165.1637
120 7.6985  -1005.7107 -2640493.3528 165.1046
121 7.6885  -1005.7107 -2640493.4310 165.0264
122 7.6785  -1005.7107 -2640493.4942 164.9633
123 7.6685  -1005.7107 -2640493.5527 164.9047
124 7.6584  -1005.7108 -2640493.6395 164.8179
125 7.6484  -1005.7108 -2640493.7055 164.7519
126 7.6384  -1005.7108 -2640493.7660 164.6915
