0 8.9000  -1440.2701 -3781429.2161 134.7525
1 8.8900  -1440.2702 -3781429.3950 134.5736
2 8.8800  -1440.2703 -3781429.5605 134.4081
3 8.8700  -1440.2703 -3781429.7435 134.2251
4 8.8599  -1440.2704 -3781429.9176 134.0510
5 8.8499  -1440.2705 -3781430.0917 133.8768
6 8.8399  -1440.2705 -3781430.2659 133.7027
7 8.8299  -1440.2706 -3781430.4401 133.5285
8 8.8199  -1440.2707 -3781430.6144 133.3542
9 8.8099  -1440.2707 -3781430.7889 133.1797
10 8.7999  -1440.2708 -3781430.9636 133.0050
11 8.7899  -1440.2709 -3781431.1385 132.8301
12 8.7798  -1440.2709 -3781431.3138 132.6548
13 8.7698  -1440.2710 -3781431.4872 132.4814
14 8.7598  -1440.2711 -3781431.6656 132.3029
15 8.7498  -1440.2711 -3781431.8430 132.1256
16 8.7398  -1440.2747 -3781441.2902 122.6784
17 8.7298  -1440.2749 -3781441.6912 122.2774
18 8.7198  -1440.2750 -3781442.0713 121.8973
19 8.7098  -1440.2752 -3781442.4903 121.4783
20 8.6997  -1440.2753 -3781442.8884 121.0802
21 8.6897  -1440.2755 -3781443.2880 120.6806
22 8.6797  -1440.2756 -3781443.6864 120.2822
23 8.6697  -1440.2758 -3781444.0682 119.9004
24 8.6597  -1440.2759 -3781444.4817 119.4869
25 8.6497  -1440.2761 -3781444.8778 119.0907
26 8.6397  -1440.2762 -3781445.2769 118.6917
27 8.6297  -1440.2764 -3781445.6737 118.2949
28 8.6196  -1440.2765 -3781446.0707 117.8979
29 8.6096  -1440.2767 -3781446.4683 117.5003
30 8.5996  -1440.2768 -3781446.8648 117.1038
31 8.5896  -1440.2770 -3781447.2509 116.7177
32 8.5796  -1440.2771 -3781447.6533 116.3153
33 8.5696  -1440.2779 -3781449.7468 114.2218
34 8.5596  -1440.2781 -3781450.1062 113.8624
35 8.5496  -1440.2782 -3781450.4782 113.4903
36 8.5395  -1440.2784 -3781450.8402 113.1284
37 8.5295  -1440.2785 -3781451.2039 112.7646
38 8.5195  -1440.2786 -3781451.5667 112.4019
39 8.5095  -1440.2788 -3781451.9319 112.0367
40 8.4995  -1440.2789 -3781452.2942 111.6744
41 8.4895  -1440.2791 -3781452.6582 111.3104
42 8.4795  -1440.2792 -3781453.0202 110.9484
43 8.4695  -1440.2793 -3781453.3467 110.6219
44 8.4594  -1440.2795 -3781453.7331 110.2355
45 8.4494  -1440.2796 -3781454.0964 109.8722
46 8.4394  -1440.2797 -3781454.4643 109.5043
47 8.4294  -1440.2799 -3781454.8265 109.1421
48 8.4194  -1440.2800 -3781455.1854 108.7832
49 8.4094  -1440.2802 -3781455.5386 108.4299
50 8.3994  -1440.2803 -3781455.8896 108.0790
51 8.3894  -1440.2804 -3781456.2469 107.7217
52 8.3793  -1440.2806 -3781456.6054 107.3632
53 8.3693  -1440.2807 -3781456.9549 107.0136
54 8.3593  -1440.2808 -3781457.3019 106.6667
55 8.3493  -1440.2810 -3781457.6465 106.3221
56 8.3393  -1440.2811 -3781457.9931 105.9755
57 8.3293  -1440.2812 -3781458.3353 105.6332
58 8.3193  -1440.2813 -3781458.6791 105.2895
59 8.3093  -1440.2815 -3781459.0206 104.9479
60 8.2992  -1440.2816 -3781459.3566 104.6119
61 8.2892  -1440.2817 -3781459.7068 104.2617
62 8.2792  -1440.2819 -3781460.0482 103.9203
63 8.2692  -1440.2820 -3781460.3829 103.5857
64 8.2592  -1440.2821 -3781460.7149 103.2537
65 8.2492  -1440.2822 -3781461.0421 102.9265
66 8.2392  -1440.2824 -3781461.3668 102.6017
67 8.2292  -1440.2825 -3781461.6998 102.2688
68 8.2191  -1440.2826 -3781462.0299 101.9387
69 8.2091  -1440.2827 -3781462.3504 101.6182
70 8.1991  -1440.2829 -3781462.6724 101.2961
71 8.1891  -1440.2830 -3781462.9865 100.9821
72 8.1791  -1440.2831 -3781463.3086 100.6599
73 8.1691  -1440.2832 -3781463.6282 100.3404
74 8.1591  -1440.2834 -3781463.9402 100.0284
75 8.1491  -1440.2835 -3781464.2490 99.7196
76 8.1390  -1440.2836 -3781464.5500 99.4185
77 8.1290  -1440.2837 -3781464.8519 99.1167
78 8.1190  -1440.2838 -3781465.1548 98.8138
79 8.1090  -1440.2839 -3781465.4471 98.5215
80 8.0990  -1440.2840 -3781465.7411 98.2275
81 8.0890  -1440.2842 -3781466.0569 97.9117
82 8.0790  -1440.2843 -3781466.3614 97.6072
83 8.0690  -1440.2844 -3781466.6566 97.3120
84 8.0589  -1440.2845 -3781466.9466 97.0220
85 8.0489  -1440.2846 -3781467.2324 96.7362
86 8.0389  -1440.2847 -3781467.5366 96.4320
87 8.0289  -1440.2848 -3781467.8281 96.1405
88 8.0189  -1440.2849 -3781468.1125 95.8561
89 8.0089  -1440.2850 -3781468.3910 95.5776
90 7.9989  -1440.2852 -3781468.6680 95.3005
91 7.9889  -1440.2853 -3781468.9407 95.0279
92 7.9788  -1440.2854 -3781469.2321 94.7365
93 7.9688  -1440.2855 -3781469.5089 94.4596
94 7.9588  -1440.2856 -3781469.7787 94.1899
95 7.9488  -1440.2857 -3781470.0437 93.9249
96 7.9388  -1440.2858 -3781470.3058 93.6628
97 7.9288  -1440.2859 -3781470.5735 93.3951
98 7.9188  -1440.2860 -3781470.8350 93.1336
99 7.9088  -1440.2861 -3781471.0931 92.8754
100 7.8987  -1440.2862 -3781471.3425 92.6260
101 7.8887  -1440.2863 -3781471.5937 92.3749
102 7.8787  -1440.2864 -3781471.8584 92.1102
103 7.8687  -1440.2865 -3781472.1125 91.8561
104 7.8587  -1440.2866 -3781472.3541 91.6145
105 7.8487  -1440.2867 -3781472.5999 91.3687
106 7.8387  -1440.2867 -3781472.8439 91.1247
107 7.8287  -1440.2868 -3781473.0808 90.8878
108 7.8186  -1440.2869 -3781473.3287 90.6399
109 7.8086  -1440.2870 -3781473.5704 90.3982
110 7.7986  -1440.2871 -3781473.8024 90.1662
111 7.7886  -1440.2872 -3781474.0337 89.9349
112 7.7786  -1440.2873 -3781474.2655 89.7031
113 7.7686  -1440.2874 -3781474.4992 89.4693
114 7.7586  -1440.2875 -3781474.7323 89.2363
115 7.7486  -1440.2875 -3781474.9560 89.0126
116 7.7385  -1440.2876 -3781475.1793 88.7893
117 7.7285  -1440.2877 -3781475.4043 88.5643
118 7.7185  -1440.2878 -3781475.6227 88.3459
