0 8.9000  -765.4618 -2009720.0734 90.4177
1 8.8900  -765.4619 -2009720.1844 90.3068
2 8.8800  -765.4619 -2009720.2917 90.1994
3 8.8700  -765.4620 -2009720.3960 90.0951
4 8.8599  -765.4620 -2009720.4977 89.9934
5 8.8499  -765.4620 -2009720.5969 89.8942
6 8.8399  -765.4621 -2009720.6938 89.7973
7 8.8299  -765.4621 -2009720.8214 89.6697
8 8.8199  -765.4622 -2009720.9170 89.5741
9 8.8099  -765.4622 -2009721.0083 89.4828
10 8.7999  -765.4622 -2009721.0963 89.3948
11 8.7899  -765.4623 -2009721.1816 89.3096
12 8.7798  -765.4623 -2009721.2646 89.2265
13 8.7698  -765.4623 -2009721.3458 89.1453
14 8.7598  -765.4624 -2009721.4256 89.0655
15 8.7498  -765.4624 -2009721.5810 88.9101
16 8.7398  -765.4625 -2009721.6912 88.7999
17 8.7298  -765.4625 -2009721.7863 88.7048
18 8.7198  -765.4625 -2009721.9061 88.5850
19 8.7098  -765.4626 -2009722.0083 88.4829
20 8.6997  -765.4626 -2009722.1082 88.3829
21 8.6897  -765.4627 -2009722.2075 88.2836
22 8.6797  -765.4627 -2009722.3463 88.1448
23 8.6697  -765.4628 -2009722.4529 88.0383
24 8.6597  -765.4628 -2009722.5574 87.9337
25 8.6497  -765.4628 -2009722.6549 87.8362
26 8.6397  -765.4730 -2009749.3290 61.1621
27 8.6297  -765.4730 -2009749.2803 61.2108
28 8.6196  -765.4729 -2009749.2287 61.2624
29 8.6096  -765.4729 -2009749.1751 61.3160
30 8.5996  -765.4729 -2009749.1276 61.3635
31 8.5896  -765.4729 -2009749.0756 61.4155
32 8.5796  -765.4729 -2009749.0219 61.4692
33 8.5696  -765.4728 -2009748.9671 61.5240
34 8.5596  -765.4728 -2009748.9114 61.5798
35 8.5496  -765.4728 -2009748.8547 61.6364
36 8.5395  -765.4728 -2009748.7972 61.6939
37 8.5295  -765.4728 -2009748.7389 61.7523
38 8.5195  -765.4727 -2009748.6798 61.8113
39 8.5095  -765.4727 -2009748.6200 61.8711
40 8.4995  -765.4727 -2009748.5596 61.9316
41 8.4895  -765.4727 -2009748.4985 61.9926
42 8.4795  -765.4727 -2009748.4647 62.0265
43 8.4695  -765.4726 -2009748.4040 62.0871
44 8.4594  -765.4726 -2009748.3420 62.1491
45 8.4494  -765.4726 -2009748.2790 62.2121
46 8.4394  -765.4726 -2009748.2153 62.2758
47 8.4294  -765.4725 -2009748.1509 62.3402
48 8.4194  -765.4725 -2009748.0861 62.4050
49 8.4094  -765.4725 -2009748.0210 62.4701
50 8.3994  -765.4725 -2009747.9556 62.5355
51 8.3894  -765.4725 -2009747.9175 62.5736
52 8.3793  -765.4724 -2009747.8552 62.6359
53 8.3693  -765.4724 -2009747.7915 62.6996
54 8.3593  -765.4724 -2009747.7269 62.7642
55 8.3493  -765.4724 -2009747.6618 62.8293
56 8.3393  -765.4723 -2009747.5983 62.8928
57 8.3293  -765.4723 -2009747.5321 62.9590
58 8.3193  -765.4723 -2009747.4657 63.0255
59 8.3093  -765.4723 -2009747.4196 63.0715
60 8.2992  -765.4722 -2009747.3555 63.1356
61 8.2892  -765.4722 -2009747.2903 63.2009
62 8.2792  -765.4722 -2009747.2251 63.2661
63 8.2692  -765.4722 -2009747.1581 63.3330
64 8.2592  -765.4721 -2009747.0907 63.4004
65 8.2492  -765.4721 -2009747.0249 63.4662
66 8.2392  -765.4721 -2009746.9566 63.5345
67 8.2292  -765.4721 -2009746.8904 63.6007
68 8.2191  -765.4720 -2009746.8215 63.6696
69 8.2091  -765.4720 -2009746.7519 63.7392
70 8.1991  -765.4720 -2009746.6950 63.7961
71 8.1891  -765.4720 -2009746.6258 63.8653
72 8.1791  -765.4719 -2009746.5551 63.9361
73 8.1691  -765.4719 -2009746.4841 64.0071
74 8.1591  -765.4719 -2009746.4117 64.0794
75 8.1491  -765.4718 -2009746.3397 64.1515
76 8.1390  -765.4718 -2009746.2660 64.2251
77 8.1290  -765.4718 -2009746.1918 64.2994
78 8.1190  -765.4718 -2009746.1184 64.3727
79 8.1090  -765.4717 -2009746.0431 64.4481
80 8.0990  -765.4717 -2009745.9669 64.5242
81 8.0890  -765.4717 -2009745.8918 64.5993
82 8.0790  -765.4716 -2009745.8147 64.6764
83 8.0690  -765.4716 -2009745.7367 64.7544
84 8.0589  -765.4716 -2009745.6597 64.8314
85 8.0489  -765.4716 -2009745.5807 64.9104
86 8.0389  -765.4715 -2009745.5008 64.9903
87 8.0289  -765.4715 -2009745.4217 65.0694
88 8.0189  -765.4715 -2009745.3408 65.1503
89 8.0089  -765.4714 -2009745.2591 65.2321
90 7.9989  -765.4714 -2009745.1779 65.3133
91 7.9889  -765.4714 -2009745.0951 65.3960
92 7.9788  -765.4713 -2009745.0115 65.4796
93 7.9688  -765.4713 -2009744.9283 65.5628
94 7.9588  -765.4713 -2009744.8437 65.6475
95 7.9488  -765.4712 -2009744.7583 65.7328
96 7.9388  -765.4712 -2009744.6732 65.8180
97 7.9288  -765.4712 -2009744.5868 65.9044
98 7.9188  -765.4711 -2009744.4997 65.9914
99 7.9088  -765.4711 -2009744.4121 66.0790
100 7.8987  -765.4711 -2009744.3247 66.1664
101 7.8887  -765.4710 -2009744.2361 66.2550
