0 8.9000  -867.2285 -2276908.3525 43.5436
1 8.8900  -867.2287 -2276909.0442 42.8519
2 8.8800  -867.2290 -2276909.7046 42.1915
3 8.8700  -867.2292 -2276910.3322 41.5639
4 8.8599  -867.2295 -2276910.9239 40.9722
5 8.8499  -867.2297 -2276911.5021 40.3940
6 8.8399  -867.2299 -2276912.0471 39.8490
7 8.8299  -867.2301 -2276912.5638 39.3324
8 8.8199  -867.2303 -2276913.0561 38.8400
9 8.8099  -867.2304 -2276913.5242 38.3719
10 8.7999  -867.2306 -2276913.9709 37.9252
11 8.7899  -867.2308 -2276914.3954 37.5007
12 8.7798  -867.2309 -2276914.8008 37.0953
13 8.7698  -867.2311 -2276915.1860 36.7101
14 8.7598  -867.2312 -2276915.5543 36.3418
15 8.7498  -867.2313 -2276915.9044 35.9917
16 8.7398  -867.2315 -2276916.2394 35.6567
17 8.7298  -867.2316 -2276916.5580 35.3381
18 8.7198  -867.2317 -2276916.8631 35.0330
19 8.7098  -867.2318 -2276917.1534 34.7427
20 8.6997  -867.2319 -2276917.4318 34.4643
21 8.6897  -867.2320 -2276917.6967 34.1994
22 8.6797  -867.2321 -2276917.9511 33.9450
23 8.6697  -867.2322 -2276918.1930 33.7031
24 8.6597  -867.2323 -2276918.4257 33.4705
25 8.6497  -867.2324 -2276918.6467 33.2494
26 8.6397  -867.2325 -2276918.8597 33.0364
27 8.6297  -867.2326 -2276919.0619 32.8342
28 8.6196  -867.2326 -2276919.2568 32.6393
29 8.6096  -867.2327 -2276919.4418 32.4543
30 8.5996  -867.2328 -2276919.6201 32.2760
31 8.5896  -867.2328 -2276919.7893 32.1068
32 8.5796  -867.2329 -2276919.9525 31.9436
33 8.5696  -867.2329 -2276920.1070 31.7891
34 8.5596  -867.2330 -2276920.2563 31.6398
35 8.5496  -867.2331 -2276920.3974 31.4987
36 8.5395  -867.2331 -2276920.5337 31.3624
37 8.5295  -867.2332 -2276920.6624 31.2337
38 8.5195  -867.2332 -2276920.7867 31.1094
39 8.5095  -867.2333 -2276920.9030 30.9931
40 8.4995  -867.2333 -2276921.0168 30.8793
41 8.4895  -867.2333 -2276921.1226 30.7735
42 8.4795  -867.2334 -2276921.2258 30.6703
43 8.4695  -867.2334 -2276921.3220 30.5741
44 8.4594  -867.2334 -2276921.4150 30.4811
45 8.4494  -867.2335 -2276921.5018 30.3943
46 8.4394  -867.2335 -2276921.5858 30.3103
47 8.4294  -867.2335 -2276921.6637 30.2324
48 8.4194  -867.2336 -2276921.7392 30.1569
49 8.4094  -867.2336 -2276921.8087 30.0874
50 8.3994  -867.2336 -2276921.8762 30.0199
51 8.3894  -867.2336 -2276921.9379 29.9582
52 8.3793  -867.2337 -2276921.9977 29.8984
53 8.3693  -867.2337 -2276922.0521 29.8440
54 8.3593  -867.2337 -2276922.1048 29.7913
55 8.3493  -867.2337 -2276922.1522 29.7439
56 8.3393  -867.2337 -2276922.1981 29.6980
57 8.3293  -867.2338 -2276922.2389 29.6572
58 8.3193  -867.2338 -2276922.2783 29.6178
59 8.3093  -867.2338 -2276922.3128 29.5833
60 8.2992  -867.2338 -2276922.3462 29.5499
61 8.2892  -867.2338 -2276922.3747 29.5214
62 8.2792  -867.2338 -2276922.4022 29.4939
63 8.2692  -867.2338 -2276922.4249 29.4712
64 8.2592  -867.2338 -2276922.4469 29.4492
65 8.2492  -867.2338 -2276922.4641 29.4320
66 8.2392  -867.2339 -2276922.4807 29.4154
67 8.2292  -867.2339 -2276922.4927 29.4034
68 8.2191  -867.2339 -2276922.5042 29.3919
69 8.2091  -867.2339 -2276922.5111 29.3850
70 8.1991  -867.2339 -2276922.5176 29.3785
71 8.1891  -867.2339 -2276922.5196 29.3765
72 8.1791  -867.2339 -2276922.5213 29.3748
73 8.1691  -867.2339 -2276922.5186 29.3775
74 8.1591  -867.2339 -2276922.5157 29.3804
75 8.1491  -867.2339 -2276922.5085 29.3876
76 8.1390  -867.2339 -2276922.5011 29.3950
77 8.1290  -867.2339 -2276922.4894 29.4067
78 8.1190  -867.2339 -2276922.4778 29.4183
79 8.1090  -867.2338 -2276922.4618 29.4343
80 8.0990  -867.2338 -2276922.4460 29.4501
81 8.0890  -867.2338 -2276922.4259 29.4702
82 8.0790  -867.2338 -2276922.4061 29.4900
83 8.0690  -867.2338 -2276922.3819 29.5142
84 8.0589  -867.2338 -2276922.3582 29.5379
85 8.0489  -867.2338 -2276922.3303 29.5658
86 8.0389  -867.2338 -2276922.3028 29.5933
87 8.0289  -867.2338 -2276922.2711 29.6250
88 8.0189  -867.2338 -2276922.2400 29.6562
89 8.0089  -867.2337 -2276922.2046 29.6915
90 7.9989  -867.2337 -2276922.1698 29.7263
91 7.9889  -867.2337 -2276922.1311 29.7650
92 7.9788  -867.2337 -2276922.0928 29.8033
93 7.9688  -867.2337 -2276922.0504 29.8457
94 7.9588  -867.2337 -2276922.0077 29.8884
95 7.9488  -867.2337 -2276921.9646 29.9315
96 7.9388  -867.2336 -2276921.9180 29.9781
97 7.9288  -867.2336 -2276921.8717 30.0244
98 7.9188  -867.2336 -2276921.8216 30.0745
99 7.9088  -867.2336 -2276921.7708 30.1253
100 7.8987  -867.2336 -2276921.7196 30.1765
101 7.8887  -867.2335 -2276921.6656 30.2305
102 7.8787  -867.2335 -2276921.6112 30.2849
103 7.8687  -867.2335 -2276921.5538 30.3423
104 7.8587  -867.2335 -2276921.4969 30.3992
105 7.8487  -867.2335 -2276921.4362 30.4599
106 7.8387  -867.2334 -2276921.3756 30.5205
107 7.8287  -867.2334 -2276921.3146 30.5815
108 7.8186  -867.2334 -2276921.2504 30.6457
109 7.8086  -867.2334 -2276921.1866 30.7095
110 7.7986  -867.2333 -2276921.1192 30.7770
111 7.7886  -867.2333 -2276921.0522 30.8439
112 7.7786  -867.2333 -2276920.9847 30.9114
113 7.7686  -867.2333 -2276920.9149 30.9812
114 7.7586  -867.2332 -2276920.8423 31.0538
115 7.7486  -867.2332 -2276920.7709 31.1252
116 7.7385  -867.2332 -2276920.6979 31.1982
117 7.7285  -867.2331 -2276920.6205 31.2756
118 7.7185  -867.2331 -2276920.5471 31.3490
119 7.7085  -867.2331 -2276920.4705 31.4256
120 7.6985  -867.2331 -2276920.3899 31.5062
121 7.6885  -867.2330 -2276920.3130 31.5831
122 7.6785  -867.2330 -2276920.2331 31.6630
123 7.6685  -867.2330 -2276920.1494 31.7467
124 7.6584  -867.2329 -2276920.0691 31.8270
125 7.6484  -867.2329 -2276919.9861 31.9100
126 7.6384  -867.2329 -2276919.8994 31.9967
127 7.6284  -867.2328 -2276919.8159 32.0802
128 7.6184  -867.2328 -2276919.7300 32.1661
129 7.6084  -867.2328 -2276919.6404 32.2557
130 7.5984  -867.2327 -2276919.5539 32.3422
131 7.5884  -867.2327 -2276919.4651 32.4310
132 7.5783  -867.2327 -2276919.3729 32.5232
133 7.5683  -867.2326 -2276919.2834 32.6128
134 7.5583  -867.2326 -2276919.1918 32.7043
135 7.5483  -867.2326 -2276919.0970 32.7991
136 7.5383  -867.2325 -2276919.0046 32.8915
137 7.5283  -867.2325 -2276918.9104 32.9857
138 7.5183  -867.2325 -2276918.8129 33.0832
139 7.5083  -867.2324 -2276918.7179 33.1782
140 7.4982  -867.2324 -2276918.6212 33.2749
141 7.4882  -867.2323 -2276918.5212 33.3749
142 7.4782  -867.2323 -2276918.4237 33.4724
143 7.4682  -867.2323 -2276918.3244 33.5717
144 7.4582  -867.2322 -2276918.2219 33.6742
145 7.4482  -867.2322 -2276918.1220 33.7741
146 7.4382  -867.2322 -2276918.0204 33.8757
147 7.4282  -867.2321 -2276917.9155 33.9806
148 7.4181  -867.2321 -2276917.8133 34.0828
149 7.4081  -867.2320 -2276917.7093 34.1868
150 7.3981  -867.2320 -2276917.6021 34.2940
151 7.3881  -867.2320 -2276917.4977 34.3984
152 7.3781  -867.2319 -2276917.3915 34.5046
153 7.3681  -867.2319 -2276917.2819 34.6142
154 7.3581  -867.2318 -2276917.1754 34.7207
155 7.3481  -867.2318 -2276917.0669 34.8292
156 7.3380  -867.2317 -2276916.9552 34.9409
157 7.3280  -867.2317 -2276916.8466 35.0495
158 7.3180  -867.2317 -2276916.7360 35.1601
159 7.3080  -867.2316 -2276916.6220 35.2741
160 7.2980  -867.2316 -2276916.5114 35.3847
161 7.2880  -867.2315 -2276916.3987 35.4974
162 7.2780  -867.2315 -2276916.2826 35.6135
163 7.2680  -867.2314 -2276916.1700 35.7261
164 7.2579  -867.2314 -2276916.0552 35.8409
165 7.2479  -867.2314 -2276915.9370 35.9591
166 7.2379  -867.2313 -2276915.8225 36.0736
167 7.2279  -867.2313 -2276915.7057 36.1904
168 7.2179  -867.2312 -2276915.5854 36.3107
169 7.2079  -867.2312 -2276915.4690 36.4271
170 7.1979  -867.2311 -2276915.3484 36.5477
171 7.1879  -867.2311 -2276915.2299 36.6662
172 7.1778  -867.2310 -2276915.1097 36.7864
173 7.1678  -867.2310 -2276914.9863 36.9098
174 7.1578  -867.2310 -2276914.8666 37.0295
175 7.1478  -867.2309 -2276914.7427 37.1534
176 7.1378  -867.2309 -2276914.6210 37.2751
177 7.1278  -867.2308 -2276914.4976 37.3985
178 7.1178  -867.2308 -2276914.3709 37.5252
179 7.1078  -867.2307 -2276914.2482 37.6479
180 7.0977  -867.2307 -2276914.1209 37.7752
181 7.0877  -867.2306 -2276913.9962 37.8999
182 7.0777  -867.2306 -2276913.8676 38.0285
183 7.0677  -867.2305 -2276913.7418 38.1543
184 7.0577  -867.2305 -2276913.6118 38.2843
185 7.0477  -867.2304 -2276913.4850 38.4111
186 7.0377  -867.2304 -2276913.3535 38.5426
187 7.0277  -867.2303 -2276913.2257 38.6704
188 7.0176  -867.2303 -2276913.0929 38.8032
189 7.0076  -867.2302 -2276912.9639 38.9322
190 6.9976  -867.2302 -2276912.8299 39.0662
191 6.9876  -867.2301 -2276912.6998 39.1964
192 6.9776  -867.2301 -2276912.5645 39.3316
193 6.9676  -867.2300 -2276912.4332 39.4629
194 6.9576  -867.2300 -2276912.2967 39.5994
195 6.9476  -867.2299 -2276912.1643 39.7318
196 6.9375  -867.2299 -2276912.0265 39.8696
197 6.9275  -867.2298 -2276911.8930 40.0031
198 6.9175  -867.2298 -2276911.7540 40.1421
199 6.9075  -867.2297 -2276911.6193 40.2768
200 6.8975  -867.2297 -2276911.4792 40.4169
201 6.8875  -867.2296 -2276911.3434 40.5527
202 6.8775  -867.2296 -2276911.2020 40.6941
203 6.8675  -867.2295 -2276911.0652 40.8309
204 6.8574  -867.2295 -2276910.9227 40.9734
205 6.8474  -867.2294 -2276910.7848 41.1113
206 6.8374  -867.2293 -2276910.6411 41.2550
207 6.8274  -867.2293 -2276910.5021 41.3940
208 6.8174  -867.2292 -2276910.3573 41.5388
209 6.8074  -867.2292 -2276910.2173 41.6788
210 6.7974  -867.2291 -2276910.0714 41.8247
211 6.7874  -867.2291 -2276909.9304 41.9657
212 6.7773  -867.2290 -2276909.7833 42.1128
213 6.7673  -867.2290 -2276909.6413 42.2548
214 6.7573  -867.2289 -2276909.4931 42.4030
215 6.7473  -867.2289 -2276909.3501 42.5460
216 6.7373  -867.2288 -2276909.2009 42.6953
217 6.7273  -867.2287 -2276909.0569 42.8392
218 6.7173  -867.2287 -2276908.9066 42.9895
219 6.7073  -867.2286 -2276908.7616 43.1345
220 6.6972  -867.2286 -2276908.6104 43.2858
221 6.6872  -867.2285 -2276908.4645 43.4317
222 6.6772  -867.2285 -2276908.3121 43.5840
223 6.6672  -867.2284 -2276908.1653 43.7308
224 6.6572  -867.2283 -2276908.0120 43.8841
225 6.6472  -867.2283 -2276907.8642 44.0319
226 6.6372  -867.2282 -2276907.7100 44.1861
227 6.6272  -867.2282 -2276907.5613 44.3348
228 6.6171  -867.2281 -2276907.4060 44.4901
229 6.6071  -867.2281 -2276907.2564 44.6397
230 6.5971  -867.2280 -2276907.1002 44.7959
231 6.5871  -867.2279 -2276906.9497 44.9464
232 6.5771  -867.2279 -2276906.7926 45.1035
233 6.5671  -867.2278 -2276906.6413 45.2548
234 6.5571  -867.2278 -2276906.4832 45.4129
235 6.5471  -867.2277 -2276906.3310 45.5651
236 6.5370  -867.2276 -2276906.1721 45.7240
237 6.5270  -867.2276 -2276906.0191 45.8770
238 6.5170  -867.2275 -2276905.8592 46.0369
239 6.5070  -867.2275 -2276905.7053 46.1908
240 6.4970  -867.2274 -2276905.5446 46.3515
241 6.4870  -867.2273 -2276905.3899 46.5062
242 6.4770  -867.2273 -2276905.2283 46.6678
243 6.4670  -867.2272 -2276905.0728 46.8233
244 6.4569  -867.2272 -2276904.9104 46.9857
245 6.4469  -867.2271 -2276904.7541 47.1420
246 6.4369  -867.2270 -2276904.5908 47.3053
247 6.4269  -867.2270 -2276904.4338 47.4623
248 6.4169  -867.2269 -2276904.2696 47.6265
249 6.4069  -867.2269 -2276904.1118 47.7843
250 6.3969  -867.2268 -2276903.9468 47.9493
251 6.3869  -867.2267 -2276903.7882 48.1079
252 6.3768  -867.2267 -2276903.6225 48.2737
253 6.3668  -867.2266 -2276903.4631 48.4330
254 6.3568  -867.2265 -2276903.2965 48.5996
255 6.3468  -867.2265 -2276903.1364 48.7597
256 6.3368  -867.2264 -2276902.9690 48.9271
257 6.3268  -867.2264 -2276902.8082 49.0879
258 6.3168  -867.2263 -2276902.6400 49.2561
259 6.3068  -867.2262 -2276902.4784 49.4177
260 6.2967  -867.2262 -2276902.3094 49.5867
261 6.2867  -867.2261 -2276902.1472 49.7489
262 6.2767  -867.2260 -2276901.9773 49.9188
263 6.2667  -867.2260 -2276901.8143 50.0818
264 6.2567  -867.2259 -2276901.6437 50.2524
265 6.2467  -867.2259 -2276901.4801 50.4160
266 6.2367  -867.2258 -2276901.3087 50.5875
267 6.2267  -867.2257 -2276901.1443 50.7518
268 6.2166  -867.2257 -2276900.9721 50.9240
269 6.2066  -867.2256 -2276900.8070 51.0891
270 6.1966  -867.2255 -2276900.6340 51.2621
271 6.1866  -867.2255 -2276900.4683 51.4278
272 6.1766  -867.2254 -2276900.2945 51.6016
273 6.1666  -867.2253 -2276900.1281 51.7680
274 6.1566  -867.2253 -2276899.9535 51.9426
275 6.1466  -867.2252 -2276899.7864 52.1097
276 6.1365  -867.2251 -2276899.6111 52.2850
277 6.1265  -867.2251 -2276899.4433 52.4528
278 6.1165  -867.2250 -2276899.2672 52.6289
279 6.1065  -867.2249 -2276899.0988 52.7973
280 6.0965  -867.2249 -2276898.9220 52.9741
281 6.0865  -867.2248 -2276898.7530 53.1431
282 6.0765  -867.2247 -2276898.5753 53.3208
283 6.0665  -867.2247 -2276898.4057 53.4904
284 6.0564  -867.2246 -2276898.2273 53.6688
285 6.0464  -867.2246 -2276898.0571 53.8390
286 6.0364  -867.2245 -2276897.8780 54.0181
287 6.0264  -867.2244 -2276897.7071 54.1890
288 6.0164  -867.2243 -2276897.5273 54.3688
289 6.0064  -867.2243 -2276897.3559 54.5402
290 5.9964  -867.2242 -2276897.1753 54.7208
291 5.9864  -867.2241 -2276897.0034 54.8927
292 5.9763  -867.2241 -2276896.8221 55.0740
293 5.9663  -867.2240 -2276896.6496 55.2465
294 5.9563  -867.2239 -2276896.4676 55.4285
295 5.9463  -867.2239 -2276896.2946 55.6015
296 5.9363  -867.2238 -2276896.1119 55.7842
297 5.9263  -867.2237 -2276895.9384 55.9577
298 5.9163  -867.2237 -2276895.7550 56.1411
299 5.9063  -867.2236 -2276895.5811 56.3150
300 5.8962  -867.2235 -2276895.3969 56.4992
301 5.8862  -867.2235 -2276895.2226 56.6735
302 5.8762  -867.2234 -2276895.0378 56.8583
303 5.8662  -867.2233 -2276894.8630 57.0331
304 5.8562  -867.2233 -2276894.6775 57.2186
305 5.8462  -867.2232 -2276894.5023 57.3938
306 5.8362  -867.2231 -2276894.3162 57.5799
307 5.8262  -867.2231 -2276894.1405 57.7556
308 5.8161  -867.2230 -2276893.9539 57.9422
309 5.8061  -867.2229 -2276893.7778 58.1183
310 5.7961  -867.2228 -2276893.5905 58.3056
311 5.7861  -867.2228 -2276893.4140 58.4821
312 5.7761  -867.2227 -2276893.2262 58.6699
313 5.7661  -867.2226 -2276893.0493 58.8468
314 5.7561  -867.2226 -2276892.8610 59.0351
315 5.7461  -867.2225 -2276892.6837 59.2124
316 5.7360  -867.2224 -2276892.4950 59.4011
317 5.7260  -867.2224 -2276892.3172 59.5789
318 5.7160  -867.2223 -2276892.1281 59.7680
319 5.7060  -867.2222 -2276891.9500 59.9461
320 5.6960  -867.2222 -2276891.7604 60.1357
321 5.6860  -867.2221 -2276891.5820 60.3141
322 5.6760  -867.2220 -2276891.3922 60.5039
323 5.6660  -867.2219 -2276891.2135 60.6826
324 5.6559  -867.2219 -2276891.0236 60.8725
325 5.6459  -867.2218 -2276890.8447 61.0514
326 5.6359  -867.2217 -2276890.6548 61.2413
327 5.6259  -867.2217 -2276890.4759 61.4202
328 5.6159  -867.2216 -2276890.2863 61.6098
329 5.6059  -867.2215 -2276890.1080 61.7881
330 5.5959  -867.2215 -2276889.9191 61.9770
331 5.5859  -867.2214 -2276889.7427 62.1534
332 5.5758  -867.2213 -2276889.5557 62.3404
333 5.5658  -867.2218 -2276890.7836 61.1125
334 5.5558  -867.2220 -2276891.2996 60.5965
335 5.5458  -867.2219 -2276891.1732 60.7229
336 5.5358  -867.2219 -2276891.0523 60.8438
337 5.5258  -867.2218 -2276890.9283 60.9678
338 5.5158  -867.2218 -2276890.8017 61.0944
339 5.5058  -867.2217 -2276890.6790 61.2171
340 5.4957  -867.2217 -2276890.5546 61.3415
341 5.4857  -867.2216 -2276890.4265 61.4696
342 5.4757  -867.2216 -2276890.3044 61.5917
343 5.4657  -867.2216 -2276890.1800 61.7161
344 5.4557  -867.2215 -2276890.0512 61.8449
345 5.4457  -867.2215 -2276889.9292 61.9669
346 5.4357  -867.2214 -2276889.8049 62.0912
347 5.4257  -867.2214 -2276889.6757 62.2204
348 5.4156  -867.2213 -2276889.5539 62.3422
349 5.4056  -867.2213 -2276889.4300 62.4661
350 5.3956  -867.2212 -2276889.3006 62.5955
351 5.3856  -867.2212 -2276889.1793 62.7168
352 5.3756  -867.2211 -2276889.0562 62.8399
353 5.3656  -867.2211 -2276888.9269 62.9692
354 5.3556  -867.2210 -2276888.8066 63.0895
355 5.3456  -867.2210 -2276888.6853 63.2108
356 5.3355  -867.2209 -2276888.5563 63.3398
357 5.3255  -867.2209 -2276888.4380 63.4582
358 5.3155  -867.2208 -2276888.3202 63.5759
359 5.3055  -867.2208 -2276888.2011 63.6950
360 5.2955  -867.2207 -2276888.0761 63.8200
361 5.2855  -867.2212 -2276889.3567 62.5394
362 5.2755  -867.2402 -2276939.2080 12.6881
363 5.2655  -867.2402 -2276939.2209 12.6752
364 5.2554  -867.2402 -2276939.2319 12.6642
365 5.2454  -867.2402 -2276939.2408 12.6553
366 5.2354  -867.2402 -2276939.2484 12.6477
367 5.2254  -867.2402 -2276939.2565 12.6396
368 5.2154  -867.2402 -2276939.2615 12.6346
369 5.2054  -867.2402 -2276939.2664 12.6297
370 5.1954  -867.2402 -2276939.2686 12.6275
371 5.1854  -867.2402 -2276939.2693 12.6268
372 5.1753  -867.2402 -2276939.2705 12.6256
373 5.1653  -867.2402 -2276939.2687 12.6274
374 5.1553  -867.2402 -2276939.2666 12.6295
375 5.1453  -867.2402 -2276939.2614 12.6347
376 5.1353  -867.2402 -2276939.2546 12.6415
377 5.1253  -867.2402 -2276939.2494 12.6467
378 5.1153  -867.2402 -2276939.2402 12.6559
379 5.1053  -867.2402 -2276939.2311 12.6650
380 5.0952  -867.2402 -2276939.2191 12.6770
381 5.0852  -867.2402 -2276939.2048 12.6913
382 5.0752  -867.2402 -2276939.1920 12.7041
383 5.0652  -867.2402 -2276939.1758 12.7203
384 5.0552  -867.2402 -2276939.1584 12.7377
385 5.0452  -867.2402 -2276939.1360 12.7601
386 5.0352  -867.2402 -2276939.1205 12.7756
387 5.0252  -867.2402 -2276939.0985 12.7976
388 5.0151  -867.2402 -2276939.0743 12.8218
389 5.0051  -867.2402 -2276939.0485 12.8476
390 4.9951  -867.2402 -2276939.0247 12.8714
391 4.9851  -867.2401 -2276938.9970 12.8991
392 4.9751  -867.2401 -2276938.9667 12.9294
393 4.9651  -867.2401 -2276938.9325 12.9636
394 4.9551  -867.2401 -2276938.9050 12.9911
395 4.9451  -867.2401 -2276938.8712 13.0249
396 4.9350  -867.2401 -2276938.8346 13.0615
397 4.9250  -867.2401 -2276938.7954 13.1007
398 4.9150  -867.2401 -2276938.7613 13.1348
399 4.9050  -867.2400 -2276938.7214 13.1747
400 4.8950  -867.2400 -2276938.6796 13.2165
401 4.8850  -867.2400 -2276938.6354 13.2607
402 4.8750  -867.2400 -2276938.5921 13.3040
