0 8.9000  -801.2294 -2103627.8089 146.3242
1 8.8900  -801.2296 -2103628.1955 145.9377
2 8.8800  -801.2297 -2103628.5798 145.5534
3 8.8700  -801.2298 -2103628.9618 145.1713
4 8.8599  -801.2300 -2103629.3414 144.7917
5 8.8499  -801.2301 -2103629.7183 144.4148
6 8.8399  -801.2303 -2103630.0923 144.0408
7 8.8299  -801.2304 -2103630.4632 143.6699
8 8.8199  -801.2306 -2103630.8307 143.3024
9 8.8099  -801.2307 -2103631.1947 142.9384
10 8.7999  -801.2308 -2103631.5548 142.5783
11 8.7899  -801.2310 -2103631.9108 142.2223
12 8.7798  -801.2311 -2103632.2625 141.8706
13 8.7698  -801.2312 -2103632.6097 141.5235
14 8.7598  -801.2314 -2103632.9519 141.1812
15 8.7498  -801.2315 -2103633.2891 140.8441
16 8.7398  -801.2316 -2103633.6208 140.5123
17 8.7298  -801.2317 -2103633.9468 140.1863
18 8.7198  -801.2319 -2103634.2669 139.8662
19 8.7098  -801.2320 -2103634.5807 139.5524
20 8.6997  -801.2321 -2103634.8879 139.2453
21 8.6897  -801.2322 -2103635.1882 138.9450
22 8.6797  -801.2323 -2103635.4813 138.6518
23 8.6697  -801.2324 -2103635.7669 138.3663
24 8.6597  -801.2325 -2103636.0446 138.0885
25 8.6497  -801.2326 -2103636.3142 137.8190
26 8.6397  -801.2327 -2103636.5753 137.5579
27 8.6297  -801.2328 -2103636.8275 137.3056
28 8.6196  -801.2329 -2103637.0705 137.0626
29 8.6096  -801.2330 -2103637.3040 136.8291
30 8.5996  -801.2331 -2103637.5276 136.6056
31 8.5896  -801.2332 -2103637.7409 136.3923
32 8.5796  -801.2333 -2103637.9435 136.1896
33 8.5696  -801.2333 -2103638.1351 135.9980
34 8.5596  -801.2334 -2103638.3153 135.8178
35 8.5496  -801.2335 -2103638.4837 135.6495
36 8.5395  -801.2335 -2103638.6398 135.4933
37 8.5295  -801.2336 -2103638.7834 135.3497
38 8.5195  -801.2336 -2103638.9139 135.2192
39 8.5095  -801.2337 -2103639.0310 135.1022
40 8.4995  -801.2337 -2103639.1342 134.9989
41 8.4895  -801.2338 -2103639.2233 134.9099
42 8.4795  -801.2338 -2103639.2977 134.8354
43 8.4695  -801.2338 -2103639.3573 134.7759
44 8.4594  -801.2338 -2103639.4016 134.7315
45 8.4494  -801.2338 -2103639.4307 134.7025
46 8.4394  -801.2342 -2103640.5196 133.6135
47 8.4294  -801.2343 -2103640.7084 133.4247
48 8.4194  -801.2344 -2103640.9066 133.2265
49 8.4094  -801.2345 -2103641.1004 133.0328
50 8.3994  -801.2345 -2103641.2899 132.8432
51 8.3894  -801.2359 -2103644.8847 129.2484
52 8.3793  -801.2360 -2103645.1833 128.9499
53 8.3693  -801.2361 -2103645.4798 128.6534
54 8.3593  -801.2363 -2103645.7790 128.3541
55 8.3493  -801.2364 -2103646.0740 128.0591
56 8.3393  -801.2365 -2103646.3673 127.7658
57 8.3293  -801.2366 -2103646.6631 127.4700
58 8.3193  -801.2367 -2103646.9554 127.1777
59 8.3093  -801.2368 -2103647.2462 126.8869
60 8.2992  -801.2369 -2103647.5393 126.5938
61 8.2892  -801.2370 -2103647.8297 126.3034
62 8.2792  -801.2371 -2103648.1187 126.0144
63 8.2692  -801.2373 -2103648.4099 125.7233
64 8.2592  -801.2374 -2103648.6989 125.4342
65 8.2492  -801.2375 -2103648.9866 125.1465
66 8.2392  -801.2376 -2103649.2766 124.8565
67 8.2292  -801.2377 -2103649.5649 124.5683
68 8.2191  -801.2378 -2103649.8520 124.2811
69 8.2091  -801.2379 -2103650.1390 123.9941
70 8.1991  -801.2380 -2103650.4296 123.7035
71 8.1891  -801.2381 -2103650.7178 123.4153
72 8.1791  -801.2382 -2103651.0051 123.1280
73 8.1691  -801.2384 -2103651.2925 122.8406
74 8.1591  -801.2385 -2103651.5836 122.5495
75 8.1491  -801.2386 -2103651.8729 122.2602
76 8.1390  -801.2387 -2103652.1615 121.9716
77 8.1290  -801.2388 -2103652.4505 121.6826
78 8.1190  -801.2389 -2103652.7433 121.3898
79 8.1090  -801.2390 -2103653.0348 121.0983
80 8.0990  -801.2391 -2103653.3259 120.8073
81 8.0890  -801.2392 -2103653.6176 120.5155
82 8.0790  -801.2393 -2103653.9105 120.2227
83 8.0690  -801.2395 -2103654.2046 119.9285
84 8.0589  -801.2396 -2103654.5036 119.6295
85 8.0489  -801.2397 -2103654.8004 119.3327
86 8.0389  -801.2398 -2103655.0972 119.0359
87 8.0289  -801.2399 -2103655.3950 118.7381
88 8.0189  -801.2400 -2103655.6945 118.4386
89 8.0089  -801.2401 -2103655.9957 118.1374
90 7.9989  -801.2403 -2103656.3021 117.8311
91 7.9889  -801.2404 -2103656.6064 117.5267
92 7.9788  -801.2405 -2103656.9111 117.2220
93 7.9688  -801.2406 -2103657.2173 116.9158
94 7.9588  -801.2407 -2103657.5256 116.6075
95 7.9488  -801.2408 -2103657.8396 116.2936
96 7.9388  -801.2410 -2103658.1519 115.9813
97 7.9288  -801.2411 -2103658.4648 115.6683
98 7.9188  -801.2412 -2103658.7797 115.3535
99 7.9088  -801.2413 -2103659.1005 115.0327
100 7.8987  -801.2414 -2103659.4202 114.7129
101 7.8887  -801.2416 -2103659.7383 114.3948
102 7.8787  -801.2417 -2103660.0567 114.0764
103 7.8687  -801.2418 -2103660.3770 113.7562
104 7.8587  -801.2419 -2103660.7000 113.4331
105 7.8487  -801.2421 -2103661.0521 113.0811
106 7.8387  -801.2422 -2103661.3838 112.7494
107 7.8287  -801.2423 -2103661.7142 112.4189
108 7.8186  -801.2424 -2103662.0459 112.0872
109 7.8086  -801.2426 -2103662.3802 111.7529
110 7.7986  -801.2427 -2103662.7426 111.3905
111 7.7886  -801.2428 -2103663.0868 111.0464
112 7.7786  -801.2430 -2103663.4298 110.7033
113 7.7686  -801.2431 -2103663.7744 110.3587
114 7.7586  -801.2432 -2103664.1219 110.0112
115 7.7486  -801.2434 -2103664.4732 109.6599
116 7.7385  -801.2435 -2103664.8596 109.2735
117 7.7285  -801.2437 -2103665.2207 108.9124
118 7.7185  -801.2438 -2103665.5808 108.5523
119 7.7085  -801.2439 -2103665.9427 108.1904
120 7.6985  -801.2441 -2103666.3079 107.8252
121 7.6885  -801.2442 -2103666.6773 107.4559
122 7.6785  -801.2444 -2103667.0858 107.0474
123 7.6685  -801.2445 -2103667.4658 106.6673
124 7.6584  -801.2447 -2103667.8450 106.2881
125 7.6484  -801.2448 -2103668.2264 105.9068
126 7.6384  -801.2449 -2103668.6114 105.5218
127 7.6284  -801.2451 -2103669.0011 105.1320
128 7.6184  -801.2453 -2103669.4361 104.6970
129 7.6084  -801.2454 -2103669.8380 104.2952
130 7.5984  -801.2456 -2103670.2393 103.8939
131 7.5884  -801.2457 -2103670.6430 103.4901
132 7.5783  -801.2459 -2103671.0510 103.0821
133 7.5683  -801.2461 -2103671.5051 102.6280
134 7.5583  -801.2462 -2103671.9283 102.2049
135 7.5483  -801.2464 -2103672.3509 101.7822
136 7.5383  -801.2465 -2103672.7763 101.3568
137 7.5283  -801.2467 -2103673.2065 100.9266
138 7.5183  -801.2469 -2103673.6914 100.4417
139 7.5083  -801.2471 -2103674.1394 99.9937
140 7.4982  -801.2472 -2103674.5867 99.5464
141 7.4882  -801.2474 -2103675.0370 99.0961
142 7.4782  -801.2476 -2103675.5389 98.5942
143 7.4682  -801.2478 -2103676.0099 98.1232
144 7.4582  -801.2479 -2103676.4804 97.6528
145 7.4482  -801.2481 -2103676.9540 97.1791
146 7.4382  -801.2483 -2103677.4905 96.6426
147 7.4282  -801.2485 -2103677.9892 96.1439
148 7.4181  -801.2487 -2103678.4871 95.6460
149 7.4081  -801.2489 -2103679.0360 95.0971
150 7.3981  -801.2491 -2103679.5588 94.5743
151 7.3881  -801.2493 -2103680.0809 94.0522
