0 8.9000  -1040.6686 -2732275.5372 27.1401
1 8.8900  -1040.6688 -2732275.8476 26.8297
2 8.8800  -1040.6689 -2732276.1498 26.5275
3 8.8700  -1040.6690 -2732276.4503 26.2270
4 8.8599  -1040.6691 -2732276.7346 25.9427
5 8.8499  -1040.6692 -2732277.0106 25.6667
6 8.8399  -1040.6693 -2732277.2821 25.3952
7 8.8299  -1040.6694 -2732277.5397 25.1376
8 8.8199  -1040.6695 -2732277.7891 24.8883
9 8.8099  -1040.6696 -2732278.0307 24.6467
10 8.7999  -1040.6697 -2732278.2639 24.4134
11 8.7899  -1040.6698 -2732278.4887 24.1886
12 8.7798  -1040.6699 -2732278.7054 23.9719
13 8.7698  -1040.6699 -2732278.9142 23.7631
14 8.7598  -1040.6700 -2732279.1155 23.5618
15 8.7498  -1040.6701 -2732279.3095 23.3679
16 8.7398  -1040.6702 -2732279.4965 23.1809
17 8.7298  -1040.6702 -2732279.6770 23.0004
18 8.7198  -1040.6703 -2732279.8514 22.8260
19 8.7098  -1040.6704 -2732280.0202 22.6571
20 8.6997  -1040.6704 -2732280.1839 22.4934
21 8.6897  -1040.6705 -2732280.3431 22.3343
22 8.6797  -1040.6705 -2732280.4979 22.1794
23 8.6697  -1040.6706 -2732280.6483 22.0290
24 8.6597  -1040.6707 -2732280.7937 21.8836
25 8.6497  -1040.6707 -2732280.9335 21.7439
26 8.6397  -1040.6708 -2732281.0671 21.6102
27 8.6297  -1040.6708 -2732281.1944 21.4830
28 8.6196  -1040.6708 -2732281.3149 21.3624
29 8.6096  -1040.6709 -2732281.4285 21.2488
30 8.5996  -1040.6709 -2732281.5352 21.1421
31 8.5896  -1040.6710 -2732281.6348 21.0425
32 8.5796  -1040.6710 -2732281.7272 20.9502
33 8.5696  -1040.6710 -2732281.8124 20.8650
34 8.5596  -1040.6711 -2732281.8903 20.7870
35 8.5496  -1040.6711 -2732281.9609 20.7164
36 8.5395  -1040.6711 -2732282.0243 20.6530
37 8.5295  -1040.6711 -2732282.0803 20.5970
38 8.5195  -1040.6712 -2732282.1291 20.5482
39 8.5095  -1040.6712 -2732282.1707 20.5067
40 8.4995  -1040.6712 -2732282.2050 20.4723
41 8.4895  -1040.6712 -2732282.2322 20.4452
42 8.4795  -1040.6712 -2732282.2522 20.4251
43 8.4695  -1040.6712 -2732282.2653 20.4120
44 8.4594  -1040.6712 -2732282.2715 20.4059
45 8.4494  -1040.6712 -2732282.2709 20.4064
46 8.4394  -1040.6712 -2732282.2637 20.4136
47 8.4294  -1040.6712 -2732282.2503 20.4270
48 8.4194  -1040.6712 -2732282.2311 20.4463
49 8.4094  -1040.6712 -2732282.2063 20.4710
50 8.3994  -1040.6712 -2732282.1767 20.5006
51 8.3894  -1040.6712 -2732282.1428 20.5345
52 8.3793  -1040.6712 -2732282.1054 20.5719
53 8.3693  -1040.6711 -2732282.0651 20.6122
54 8.3593  -1040.6711 -2732282.0225 20.6548
55 8.3493  -1040.6711 -2732281.9784 20.6989
56 8.3393  -1040.6711 -2732281.9336 20.7438
57 8.3293  -1040.6711 -2732281.8885 20.7888
58 8.3193  -1040.6711 -2732281.8437 20.8336
59 8.3093  -1040.6710 -2732281.7993 20.8780
60 8.2992  -1040.6710 -2732281.7552 20.9222
61 8.2892  -1040.6710 -2732281.7110 20.9663
62 8.2792  -1040.6710 -2732281.6669 21.0104
63 8.2692  -1040.6710 -2732281.6231 21.0542
64 8.2592  -1040.6710 -2732281.5802 21.0971
65 8.2492  -1040.6709 -2732281.5412 21.1362
66 8.2392  -1040.6709 -2732281.5050 21.1723
67 8.2292  -1040.6709 -2732281.5168 21.1605
68 8.2191  -1040.6709 -2732281.5307 21.1466
69 8.2091  -1040.6709 -2732281.5448 21.1325
70 8.1991  -1040.6709 -2732281.5600 21.1173
71 8.1891  -1040.6709 -2732281.5758 21.1015
72 8.1791  -1040.6710 -2732281.5918 21.0855
73 8.1691  -1040.6710 -2732281.6078 21.0695
74 8.1591  -1040.6710 -2732281.6240 21.0534
75 8.1491  -1040.6710 -2732281.6403 21.0371
76 8.1390  -1040.6710 -2732281.6569 21.0205
77 8.1290  -1040.6710 -2732281.6740 21.0033
78 8.1190  -1040.6710 -2732281.6920 20.9853
79 8.1090  -1040.6710 -2732281.7113 20.9661
80 8.0990  -1040.6710 -2732281.7321 20.9452
81 8.0890  -1040.6710 -2732281.7548 20.9225
82 8.0790  -1040.6710 -2732281.7793 20.8980
83 8.0690  -1040.6710 -2732281.8053 20.8720
84 8.0589  -1040.6710 -2732281.8321 20.8453
85 8.0489  -1040.6711 -2732281.8590 20.8183
86 8.0389  -1040.6711 -2732281.8858 20.7915
87 8.0289  -1040.6711 -2732281.9122 20.7651
88 8.0189  -1040.6711 -2732281.9380 20.7393
89 8.0089  -1040.6711 -2732281.9631 20.7142
90 7.9989  -1040.6711 -2732281.9874 20.6900
91 7.9889  -1040.6711 -2732282.0106 20.6667
92 7.9788  -1040.6711 -2732282.0329 20.6444
93 7.9688  -1040.6711 -2732282.0539 20.6234
94 7.9588  -1040.6711 -2732282.0738 20.6036
95 7.9488  -1040.6711 -2732282.0922 20.5851
96 7.9388  -1040.6712 -2732282.1093 20.5680
97 7.9288  -1040.6712 -2732282.1249 20.5524
98 7.9188  -1040.6712 -2732282.1390 20.5384
99 7.9088  -1040.6712 -2732282.1515 20.5259
100 7.8987  -1040.6712 -2732282.1624 20.5149
101 7.8887  -1040.6712 -2732282.1717 20.5056
102 7.8787  -1040.6712 -2732282.1796 20.4978
103 7.8687  -1040.6712 -2732282.1859 20.4914
104 7.8587  -1040.6712 -2732282.1908 20.4866
105 7.8487  -1040.6712 -2732282.1943 20.4830
106 7.8387  -1040.6712 -2732282.1966 20.4807
107 7.8287  -1040.6712 -2732282.1978 20.4795
108 7.8186  -1040.6712 -2732282.1981 20.4793
109 7.8086  -1040.6712 -2732282.1974 20.4800
110 7.7986  -1040.6712 -2732282.1959 20.4814
111 7.7886  -1040.6712 -2732282.1935 20.4838
