0 8.9000  -1302.4540 -3419593.0811 60.5895
1 8.8900  -1302.4540 -3419593.0640 60.6066
2 8.8800  -1302.4540 -3419593.0463 60.6243
3 8.8700  -1302.4540 -3419593.0285 60.6420
4 8.8599  -1302.4540 -3419593.0107 60.6598
5 8.8499  -1302.4540 -3419592.9927 60.6779
6 8.8399  -1302.4540 -3419592.9744 60.6962
7 8.8299  -1302.4540 -3419592.9558 60.7147
8 8.8199  -1302.4540 -3419592.9369 60.7337
9 8.8099  -1302.4540 -3419592.9176 60.7529
10 8.7999  -1302.4540 -3419592.8981 60.7725
11 8.7899  -1302.4540 -3419592.8782 60.7924
12 8.7798  -1302.4540 -3419592.8580 60.8125
13 8.7698  -1302.4539 -3419592.8376 60.8330
14 8.7598  -1302.4539 -3419592.8168 60.8537
15 8.7498  -1302.4539 -3419592.7959 60.8747
16 8.7398  -1302.4539 -3419592.7747 60.8958
17 8.7298  -1302.4539 -3419592.7533 60.9172
18 8.7198  -1302.4539 -3419592.7318 60.9388
19 8.7098  -1302.4539 -3419592.7101 60.9605
20 8.6997  -1302.4539 -3419592.6882 60.9823
21 8.6897  -1302.4539 -3419592.6663 61.0042
22 8.6797  -1302.4539 -3419592.6443 61.0263
23 8.6697  -1302.4539 -3419592.6222 61.0484
24 8.6597  -1302.4539 -3419592.6000 61.0706
25 8.6497  -1302.4538 -3419592.5778 61.0928
26 8.6397  -1302.4538 -3419592.5555 61.1150
27 8.6297  -1302.4538 -3419592.5333 61.1373
28 8.6196  -1302.4538 -3419592.5111 61.1595
29 8.6096  -1302.4538 -3419592.4889 61.1817
30 8.5996  -1302.4538 -3419592.4667 61.2038
31 8.5896  -1302.4538 -3419592.4446 61.2260
32 8.5796  -1302.4538 -3419592.4224 61.2481
33 8.5696  -1302.4538 -3419592.4003 61.2702
34 8.5596  -1302.4538 -3419592.3783 61.2923
35 8.5496  -1302.4538 -3419592.3562 61.3144
36 8.5395  -1302.4538 -3419592.3341 61.3364
37 8.5295  -1302.4537 -3419592.3121 61.3585
38 8.5195  -1302.4537 -3419592.2900 61.3805
39 8.5095  -1302.4537 -3419592.2680 61.4026
40 8.4995  -1302.4537 -3419592.2459 61.4247
41 8.4895  -1302.4537 -3419592.2238 61.4468
42 8.4795  -1302.4537 -3419592.2017 61.4689
43 8.4695  -1302.4537 -3419592.1795 61.4910
44 8.4594  -1302.4537 -3419592.1573 61.5132
45 8.4494  -1302.4537 -3419592.1352 61.5354
46 8.4394  -1302.4537 -3419592.1130 61.5575
47 8.4294  -1302.4537 -3419592.0908 61.5797
48 8.4194  -1302.4537 -3419592.0686 61.6019
49 8.4094  -1302.4536 -3419592.0464 61.6241
50 8.3994  -1302.4536 -3419592.0242 61.6463
51 8.3894  -1302.4536 -3419592.0020 61.6685
52 8.3793  -1302.4536 -3419591.9798 61.6907
53 8.3693  -1302.4536 -3419591.9576 61.7129
54 8.3593  -1302.4536 -3419591.9354 61.7351
55 8.3493  -1302.4536 -3419591.9133 61.7573
56 8.3393  -1302.4536 -3419591.8911 61.7795
57 8.3293  -1302.4536 -3419591.8690 61.8016
58 8.3193  -1302.4536 -3419591.8469 61.8237
59 8.3093  -1302.4536 -3419591.8248 61.8458
60 8.2992  -1302.4536 -3419591.8028 61.8677
61 8.2892  -1302.4535 -3419591.7809 61.8897
62 8.2792  -1302.4535 -3419591.7590 61.9115
63 8.2692  -1302.4535 -3419591.7372 61.9333
64 8.2592  -1302.4535 -3419591.7156 61.9550
65 8.2492  -1302.4535 -3419591.6939 61.9766
66 8.2392  -1302.4535 -3419591.6724 61.9981
67 8.2292  -1302.4535 -3419591.6510 62.0195
68 8.2191  -1302.4535 -3419591.6297 62.0409
69 8.2091  -1302.4535 -3419591.6085 62.0621
70 8.1991  -1302.4535 -3419591.5873 62.0832
71 8.1891  -1302.4535 -3419591.5663 62.1042
72 8.1791  -1302.4535 -3419591.5454 62.1251
73 8.1691  -1302.4534 -3419591.5246 62.1459
74 8.1591  -1302.4534 -3419591.5039 62.1666
75 8.1491  -1302.4534 -3419591.4833 62.1872
76 8.1390  -1302.4534 -3419591.4628 62.2077
77 8.1290  -1302.4534 -3419591.4424 62.2282
78 8.1190  -1302.4534 -3419591.4221 62.2485
79 8.1090  -1302.4534 -3419591.4019 62.2687
80 8.0990  -1302.4534 -3419591.3817 62.2888
81 8.0890  -1302.4534 -3419591.3617 62.3089
82 8.0790  -1302.4534 -3419591.3417 62.3288
83 8.0690  -1302.4534 -3419591.3219 62.3487
84 8.0589  -1302.4534 -3419591.3020 62.3685
85 8.0489  -1302.4534 -3419591.2823 62.3882
86 8.0389  -1302.4533 -3419591.2627 62.4079
87 8.0289  -1302.4533 -3419591.2431 62.4275
88 8.0189  -1302.4533 -3419591.2236 62.4470
89 8.0089  -1302.4533 -3419591.2041 62.4664
90 7.9989  -1302.4533 -3419591.1848 62.4858
91 7.9889  -1302.4533 -3419591.1655 62.5051
92 7.9788  -1302.4533 -3419591.1462 62.5243
93 7.9688  -1302.4533 -3419591.1270 62.5435
94 7.9588  -1302.4533 -3419591.1080 62.5626
95 7.9488  -1302.4533 -3419591.0889 62.5817
96 7.9388  -1302.4533 -3419591.0700 62.6006
97 7.9288  -1302.4533 -3419591.0511 62.6195
98 7.9188  -1302.4533 -3419591.0323 62.6383
99 7.9088  -1302.4533 -3419591.0136 62.6570
100 7.8987  -1302.4532 -3419590.9950 62.6755
101 7.8887  -1302.4532 -3419590.9765 62.6941
102 7.8787  -1302.4532 -3419590.9581 62.7124
103 7.8687  -1302.4532 -3419590.9398 62.7308
104 7.8587  -1302.4532 -3419590.9217 62.7489
105 7.8487  -1302.4532 -3419590.9036 62.7670
106 7.8387  -1302.4532 -3419590.8857 62.7848
107 7.8287  -1302.4532 -3419590.8679 62.8026
108 7.8186  -1302.4532 -3419590.8503 62.8203
109 7.8086  -1302.4532 -3419590.8328 62.8377
110 7.7986  -1302.4532 -3419590.8155 62.8550
111 7.7886  -1302.4532 -3419590.7984 62.8722
112 7.7786  -1302.4532 -3419590.7814 62.8892
113 7.7686  -1302.4532 -3419590.7647 62.9059
114 7.7586  -1302.4532 -3419590.7481 62.9224
115 7.7486  -1302.4531 -3419590.7318 62.9387
116 7.7385  -1302.4531 -3419590.7157 62.9549
117 7.7285  -1302.4531 -3419590.6998 62.9707
118 7.7185  -1302.4531 -3419590.6842 62.9864
119 7.7085  -1302.4531 -3419590.6688 63.0018
120 7.6985  -1302.4531 -3419590.6537 63.0169
121 7.6885  -1302.4531 -3419590.6388 63.0317
122 7.6785  -1302.4531 -3419590.6243 63.0463
123 7.6685  -1302.4531 -3419590.6100 63.0606
124 7.6584  -1302.4531 -3419590.5960 63.0745
125 7.6484  -1302.4531 -3419590.5823 63.0882
126 7.6384  -1302.4531 -3419590.5690 63.1016
127 7.6284  -1302.4531 -3419590.5559 63.1146
128 7.6184  -1302.4531 -3419590.5432 63.1273
129 7.6084  -1302.4531 -3419590.5308 63.1397
130 7.5984  -1302.4531 -3419590.5188 63.1518
131 7.5884  -1302.4531 -3419590.5071 63.1635
132 7.5783  -1302.4531 -3419590.4957 63.1749
133 7.5683  -1302.4531 -3419590.4846 63.1860
134 7.5583  -1302.4530 -3419590.4738 63.1967
135 7.5483  -1302.4530 -3419590.4634 63.2071
136 7.5383  -1302.4530 -3419590.4533 63.2172
137 7.5283  -1302.4530 -3419590.4435 63.2271
138 7.5183  -1302.4530 -3419590.4340 63.2366
139 7.5083  -1302.4530 -3419590.4248 63.2457
140 7.4982  -1302.4530 -3419590.4159 63.2547
141 7.4882  -1302.4530 -3419590.4073 63.2633
142 7.4782  -1302.4530 -3419590.3989 63.2716
143 7.4682  -1302.4530 -3419590.3908 63.2797
144 7.4582  -1302.4530 -3419590.3830 63.2875
145 7.4482  -1302.4530 -3419590.3754 63.2951
146 7.4382  -1302.4530 -3419590.3681 63.3025
147 7.4282  -1302.4530 -3419590.3610 63.3096
148 7.4181  -1302.4530 -3419590.3541 63.3165
149 7.4081  -1302.4530 -3419590.3474 63.3231
150 7.3981  -1302.4530 -3419590.3410 63.3296
151 7.3881  -1302.4530 -3419590.3347 63.3358
152 7.3781  -1302.4530 -3419590.3287 63.3419
153 7.3681  -1302.4530 -3419590.3229 63.3477
154 7.3581  -1302.4530 -3419590.3172 63.3533
155 7.3481  -1302.4530 -3419590.3118 63.3588
156 7.3380  -1302.4530 -3419590.3066 63.3640
157 7.3280  -1302.4530 -3419590.3015 63.3690
158 7.3180  -1302.4530 -3419590.2967 63.3738
159 7.3080  -1302.4530 -3419590.2921 63.3784
160 7.2980  -1302.4530 -3419590.2878 63.3827
161 7.2880  -1302.4530 -3419590.2837 63.3869
162 7.2780  -1302.4530 -3419590.2799 63.3907
163 7.2680  -1302.4530 -3419590.2763 63.3942
164 7.2579  -1302.4530 -3419590.2731 63.3974
165 7.2479  -1302.4530 -3419590.2703 63.4003
166 7.2379  -1302.4530 -3419590.2679 63.4027
167 7.2279  -1302.4530 -3419590.2659 63.4046
168 7.2179  -1302.4530 -3419590.2646 63.4059
169 7.2079  -1302.4530 -3419590.2641 63.4065
170 7.1979  -1302.4530 -3419590.2643 63.4062
171 7.1879  -1302.4530 -3419590.2656 63.4049
172 7.1778  -1302.4530 -3419590.2683 63.4022
173 7.1678  -1302.4534 -3419591.3255 62.3450
174 7.1578  -1302.4534 -3419591.3746 62.2959
175 7.1478  -1302.4534 -3419591.4211 62.2494
176 7.1378  -1302.4534 -3419591.4662 62.2043
177 7.1278  -1302.4534 -3419591.5104 62.1601
178 7.1178  -1302.4535 -3419591.5541 62.1164
179 7.1078  -1302.4535 -3419591.5974 62.0732
180 7.0977  -1302.4535 -3419591.6578 62.0128
181 7.0877  -1302.4535 -3419591.7047 61.9659
182 7.0777  -1302.4535 -3419591.7476 61.9230
183 7.0677  -1302.4535 -3419591.7885 61.8820
184 7.0577  -1302.4536 -3419591.8284 61.8421
185 7.0477  -1302.4536 -3419591.8678 61.8028
186 7.0377  -1302.4536 -3419591.9067 61.7639
187 7.0277  -1302.4536 -3419591.9454 61.7252
188 7.0176  -1302.4536 -3419592.0514 61.6192
189 7.0076  -1302.4537 -3419592.1009 61.5696
190 6.9976  -1302.4537 -3419592.1471 61.5234
191 6.9876  -1302.4537 -3419592.1913 61.4792
192 6.9776  -1302.4537 -3419592.2341 61.4364
193 6.9676  -1302.4537 -3419592.2758 61.3947
194 6.9576  -1302.4537 -3419592.3166 61.3540
195 6.9476  -1302.4538 -3419592.3565 61.3140
196 6.9375  -1302.4538 -3419592.3957 61.2748
197 6.9275  -1302.4538 -3419592.4343 61.2363
198 6.9175  -1302.4538 -3419592.4722 61.1983
199 6.9075  -1302.4539 -3419592.5911 61.0795
200 6.8975  -1302.4539 -3419592.6480 61.0225
201 6.8875  -1302.4539 -3419592.6970 60.9736
202 6.8775  -1302.4539 -3419592.7462 60.9244
203 6.8675  -1302.4539 -3419592.7951 60.8754
204 6.8574  -1302.4540 -3419592.8624 60.8082
205 6.8474  -1302.4540 -3419592.9161 60.7544
206 6.8374  -1302.4540 -3419592.9689 60.7016
207 6.8274  -1302.4540 -3419593.0214 60.6492
208 6.8174  -1302.4540 -3419593.0736 60.5969
209 6.8074  -1302.4541 -3419593.1576 60.5129
210 6.7974  -1302.4541 -3419593.2167 60.4539
211 6.7874  -1302.4541 -3419593.2752 60.3954
212 6.7773  -1302.4541 -3419593.3348 60.3358
213 6.7673  -1302.4542 -3419593.4060 60.2646
214 6.7573  -1302.4542 -3419593.4679 60.2027
215 6.7473  -1302.4542 -3419593.5289 60.1417
216 6.7373  -1302.4542 -3419593.5906 60.0799
217 6.7273  -1302.4543 -3419593.6609 60.0096
218 6.7173  -1302.4543 -3419593.7244 59.9462
219 6.7073  -1302.4543 -3419593.7861 59.8845
220 6.6972  -1302.4543 -3419593.8567 59.8139
221 6.6872  -1302.4544 -3419593.9202 59.7504
222 6.6772  -1302.4544 -3419593.9828 59.6877
223 6.6672  -1302.4544 -3419594.0456 59.6249
224 6.6572  -1302.4544 -3419594.1092 59.5614
225 6.6472  -1302.4545 -3419594.1807 59.4899
226 6.6372  -1302.4545 -3419594.2435 59.4271
227 6.6272  -1302.4545 -3419594.3045 59.3660
228 6.6171  -1302.4545 -3419594.3662 59.3044
229 6.6071  -1302.4546 -3419594.4365 59.2340
230 6.5971  -1302.4546 -3419594.4975 59.1730
231 6.5871  -1302.4546 -3419594.5578 59.1127
232 6.5771  -1302.4546 -3419594.6180 59.0526
233 6.5671  -1302.4546 -3419594.6781 58.9924
234 6.5571  -1302.4547 -3419594.7483 58.9223
235 6.5471  -1302.4547 -3419594.8066 58.8640
236 6.5370  -1302.4547 -3419594.8643 58.8062
237 6.5270  -1302.4547 -3419594.9217 58.7488
238 6.5170  -1302.4548 -3419594.9927 58.6779
239 6.5070  -1302.4548 -3419595.0487 58.6218
240 6.4970  -1302.4548 -3419595.1043 58.5662
241 6.4870  -1302.4548 -3419595.1593 58.5112
242 6.4770  -1302.4550 -3419595.6159 58.0547
243 6.4670  -1302.4577 -3419602.5613 51.1092
244 6.4569  -1302.4577 -3419602.6230 51.0475
245 6.4469  -1302.4577 -3419602.6818 50.9888
246 6.4369  -1302.4577 -3419602.7388 50.9318
247 6.4269  -1302.4577 -3419602.7941 50.8765
248 6.4169  -1302.4578 -3419602.8475 50.8230
249 6.4069  -1302.4578 -3419602.8991 50.7714
250 6.3969  -1302.4578 -3419602.9487 50.7219
251 6.3869  -1302.4578 -3419602.9963 50.6743
252 6.3768  -1302.4578 -3419603.0419 50.6286
253 6.3668  -1302.4579 -3419603.0988 50.5718
254 6.3568  -1302.4579 -3419603.1415 50.5290
255 6.3468  -1302.4579 -3419603.1829 50.4876
256 6.3368  -1302.4579 -3419603.2209 50.4497
257 6.3268  -1302.4579 -3419603.2557 50.4149
258 6.3168  -1302.4579 -3419603.2884 50.3821
259 6.3068  -1302.4579 -3419603.3230 50.3475
260 6.2967  -1302.4580 -3419603.3519 50.3187
261 6.2867  -1302.4580 -3419603.3777 50.2929
262 6.2767  -1302.4580 -3419603.4013 50.2692
263 6.2667  -1302.4580 -3419603.4266 50.2440
264 6.2567  -1302.4580 -3419603.4462 50.2244
265 6.2467  -1302.4580 -3419603.4626 50.2080
266 6.2367  -1302.4580 -3419603.4767 50.1938
