0 8.9000  -1235.8051 -3244606.3128 71.9039
1 8.8900  -1235.8051 -3244606.3131 71.9036
2 8.8800  -1235.8051 -3244606.3116 71.9051
3 8.8700  -1235.8051 -3244606.3092 71.9075
4 8.8599  -1235.8051 -3244606.3060 71.9107
5 8.8499  -1235.8051 -3244606.3023 71.9144
6 8.8399  -1235.8051 -3244606.2980 71.9187
7 8.8299  -1235.8051 -3244606.2932 71.9235
8 8.8199  -1235.8051 -3244606.2879 71.9287
9 8.8099  -1235.8051 -3244606.2822 71.9345
10 8.7999  -1235.8051 -3244606.2760 71.9407
11 8.7899  -1235.8051 -3244606.2694 71.9473
12 8.7798  -1235.8051 -3244606.2622 71.9545
13 8.7698  -1235.8051 -3244606.2547 71.9620
14 8.7598  -1235.8051 -3244606.2467 71.9700
15 8.7498  -1235.8051 -3244606.2384 71.9783
16 8.7398  -1235.8051 -3244606.2296 71.9871
17 8.7298  -1235.8051 -3244606.2205 71.9962
18 8.7198  -1235.8051 -3244606.2109 72.0058
19 8.7098  -1235.8051 -3244606.2010 72.0157
20 8.6997  -1235.8051 -3244606.1908 72.0259
21 8.6897  -1235.8051 -3244606.1802 72.0365
22 8.6797  -1235.8051 -3244606.1693 72.0474
23 8.6697  -1235.8050 -3244606.1580 72.0587
24 8.6597  -1235.8050 -3244606.1464 72.0703
25 8.6497  -1235.8050 -3244606.1345 72.0822
26 8.6397  -1235.8050 -3244606.1224 72.0943
27 8.6297  -1235.8050 -3244606.1099 72.1068
28 8.6196  -1235.8050 -3244606.0972 72.1195
29 8.6096  -1235.8050 -3244606.0843 72.1324
30 8.5996  -1235.8050 -3244606.0711 72.1456
31 8.5896  -1235.8050 -3244606.0577 72.1590
32 8.5796  -1235.8050 -3244606.0441 72.1726
33 8.5696  -1235.8050 -3244606.0303 72.1864
34 8.5596  -1235.8050 -3244606.0163 72.2004
35 8.5496  -1235.8050 -3244606.0022 72.2145
36 8.5395  -1235.8050 -3244605.9879 72.2288
37 8.5295  -1235.8050 -3244605.9735 72.2432
38 8.5195  -1235.8050 -3244605.9590 72.2577
39 8.5095  -1235.8050 -3244605.9443 72.2724
40 8.4995  -1235.8050 -3244605.9296 72.2871
41 8.4895  -1235.8050 -3244605.9148 72.3019
42 8.4795  -1235.8050 -3244605.8999 72.3168
43 8.4695  -1235.8049 -3244605.8850 72.3317
44 8.4594  -1235.8049 -3244605.8701 72.3466
45 8.4494  -1235.8049 -3244605.8551 72.3616
46 8.4394  -1235.8049 -3244605.8401 72.3766
47 8.4294  -1235.8049 -3244605.8252 72.3915
48 8.4194  -1235.8049 -3244605.8102 72.4065
49 8.4094  -1235.8049 -3244605.7953 72.4214
50 8.3994  -1235.8049 -3244605.7804 72.4363
